gsm	filename	bytes	assay	genotype	clone	replicate	group
GSM8305989	GSM8305989_G4_CnT_WT_batch2_R1.bw	101259230	G4_BG4	WT	WT	1	main
GSM8305990	GSM8305990_G4_CnT_WT_batch2_R2.bw	96837907	G4_BG4	WT	WT	2	main
GSM8305991	GSM8305991_G4_CnT_WT_batch2_R3.bw	137654839	G4_BG4	WT	WT	3	main
GSM8305992	GSM8305992_G4_CnT_P2D2_batch2_R1.bw	133672207	G4_BG4	DHX36KO	P2D2	1	main
GSM8305993	GSM8305993_G4_CnT_P2D2_batch2_R2.bw	146387982	G4_BG4	DHX36KO	P2D2	2	main
GSM8305994	GSM8305994_G4_CnT_P2D2_batch2_R3.bw	139974139	G4_BG4	DHX36KO	P2D2	3	main
GSM8305995	GSM8305995_G4_CnT_D1D6_batch2_R1.bw	113058012	G4_BG4	FANCJKO	D1D6	1	main
GSM8305996	GSM8305996_G4_CnT_D1D6_batch2_R2.bw	128975565	G4_BG4	FANCJKO	D1D6	2	main
GSM8305997	GSM8305997_G4_CnT_D1D6_batch2_R3.bw	124847266	G4_BG4	FANCJKO	D1D6	3	main
GSM8305998	GSM8305998_G4_CnT_P3D4_batch2_R1.bw	143380735	G4_BG4	dKO	P3D4	1	main
GSM8305999	GSM8305999_G4_CnT_P3D4_batch2_R2.bw	150094991	G4_BG4	dKO	P3D4	2	main
GSM8306000	GSM8306000_G4_CnT_P3D4_batch2_R3.bw	133223284	G4_BG4	dKO	P3D4	3	main
GSM8306001	GSM8306001_Rloop_CnT_mES_WT_R1.bw	14619267	Rloop_S96	WT	WT	1	main
GSM8306002	GSM8306002_Rloop_CnT_mES_WT_R2.bw	14848946	Rloop_S96	WT	WT	2	main
GSM8306003	GSM8306003_Rloop_CnT_mES_P2D2_R1.bw	12537033	Rloop_S96	DHX36KO	P2D2	1	main
GSM8306004	GSM8306004_Rloop_CnT_mES_P2D2_R2.bw	14286281	Rloop_S96	DHX36KO	P2D2	2	main
GSM8306005	GSM8306005_Rloop_CnT_mES_D1D6_R1.bw	17426326	Rloop_S96	FANCJKO	D1D6	1	main
GSM8306006	GSM8306006_Rloop_CnT_mES_D1D6_R2.bw	14089652	Rloop_S96	FANCJKO	D1D6	2	main
GSM8306007	GSM8306007_Rloop_CnT_mES_P3D4_R1.bw	16924346	Rloop_S96	dKO	P3D4	1	main
GSM8306008	GSM8306008_Rloop_CnT_mES_P3D4_R2.bw	18709147	Rloop_S96	dKO	P3D4	2	main
GSM8785590	GSM8785590_G4_CnT_ERCCWT_rep1.bw	263419347	G4_BG4	ERCCWT	ERCCWT	1	ercc
GSM8785591	GSM8785591_G4_CnT_ERCCWT_rep2.bw	219769360	G4_BG4	ERCCWT	ERCCWT	2	ercc
GSM8785592	GSM8785592_G4_CnT_ERCCKO_rep1.bw	233006441	G4_BG4	ERCCKO	ERCCKO	1	ercc
GSM8785593	GSM8785593_G4_CnT_ERCCKO_rep2.bw	264977917	G4_BG4	ERCCKO	ERCCKO	2	ercc
GSM8785594	GSM8785594_Rloop_CnT_ERCCWT_rep1.bw	69224063	Rloop_S96	ERCCWT	ERCCWT	1	ercc
GSM8785595	GSM8785595_Rloop_CnT_ERCCWT_rep2.bw	71540905	Rloop_S96	ERCCWT	ERCCWT	2	ercc
GSM8785596	GSM8785596_Rloop_CnT_ERCCKO_rep1.bw	104981216	Rloop_S96	ERCCKO	ERCCKO	1	ercc
GSM8785597	GSM8785597_Rloop_CnT_ERCCKO_rep2.bw	89822736	Rloop_S96	ERCCKO	ERCCKO	2	ercc
