unit,ko,filter,direction,n
fragment,DHX36KO,pooled,up,285
fragment,DHX36KO,pooled,down,192
fragment,DHX36KO,parallel,up,240
fragment,DHX36KO,parallel,down,155
fragment,DHX36KO,antiparallel,up,13
fragment,DHX36KO,antiparallel,down,10
fragment,DHX36KO,hybrid,up,32
fragment,DHX36KO,hybrid,down,27
fragment,DHX36KO,unfiltered,up,1719
fragment,DHX36KO,unfiltered,down,1517
gene,DHX36KO,pooled,up,149
gene,DHX36KO,pooled,down,87
gene,DHX36KO,parallel,up,128
gene,DHX36KO,parallel,down,68
gene,DHX36KO,antiparallel,down,6
gene,DHX36KO,hybrid,up,17
gene,DHX36KO,hybrid,down,13
gene,DHX36KO,unfiltered,up,743
gene,DHX36KO,unfiltered,down,586
fragment,dKO,pooled,up,388
fragment,dKO,pooled,down,433
fragment,dKO,parallel,up,323
fragment,dKO,parallel,down,357
fragment,dKO,antiparallel,up,26
fragment,dKO,antiparallel,down,13
fragment,dKO,hybrid,up,39
fragment,dKO,hybrid,down,63
fragment,dKO,unfiltered,up,2429
fragment,dKO,unfiltered,down,2889
gene,dKO,pooled,up,187
gene,dKO,pooled,down,181
gene,dKO,parallel,up,159
gene,dKO,parallel,down,149
gene,dKO,antiparallel,up,10
gene,dKO,hybrid,up,18
gene,dKO,hybrid,down,28
gene,dKO,unfiltered,up,993
gene,dKO,unfiltered,down,1128
