bin,position,mean,sem,unit,ko,signal_geno,topology,direction,n_5utr,column
1,-2000,3.4963193431765016,0.40906792961144683,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
2,-1949.367088607595,3.611274588916734,0.42664124465899905,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
3,-1898.73417721519,3.74986875137251,0.42496173112579705,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
4,-1848.1012658227849,3.8404258313457866,0.3958433989295476,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
5,-1797.4683544303798,3.9081883647483693,0.38646218154224127,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
6,-1746.8354430379748,3.916729271877579,0.42082852018390965,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
7,-1696.2025316455697,3.8397758575127137,0.43928009342571406,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
8,-1645.5696202531644,3.9427201142896684,0.43466045597741365,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
9,-1594.9367088607596,3.973452601884541,0.41013196030121124,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
10,-1544.3037974683543,4.134214828212359,0.456768845378139,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
11,-1493.6708860759495,4.378458362749446,0.6265095667170539,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
12,-1443.0379746835442,4.558472155927914,0.7062562740612675,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
13,-1392.4050632911392,4.661405863653149,0.7594575570161386,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
14,-1341.7721518987341,4.621643400568711,0.7759920564686593,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
15,-1291.139240506329,4.5465084693390025,0.6715784334173772,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
16,-1240.506329113924,4.501164611289376,0.49255166892804353,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
17,-1189.873417721519,4.650764824761285,0.43420758132653153,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
18,-1139.240506329114,4.938047206136916,0.505324099993671,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
19,-1088.607594936709,5.409069881076701,0.6660495437072563,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
20,-1037.9746835443038,5.729261416917656,0.7973959373401068,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
21,-987.3417721518988,6.139166409581725,0.907853785068643,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
22,-936.7088607594937,6.506506349555233,0.9607362755852212,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
23,-886.0759493670887,6.591448092148318,0.9249063536537334,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
24,-835.4430379746836,6.5123054405625105,0.7989879770971463,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
25,-784.8101265822784,6.569406075148555,0.7681152423689802,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
26,-734.1772151898733,6.653196589561931,0.7482952468417545,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
27,-683.5443037974683,6.77695069492909,0.7518257280206802,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
28,-632.9113924050632,6.90623878018619,0.744503103504308,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
29,-582.2784810126582,7.20039492265244,0.805785237971752,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
30,-531.6455696202531,7.858750493796945,0.9232367150677115,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
31,-481.0126582278481,8.727052972428282,1.0594367154852113,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
32,-430.37974683544303,9.343437340736388,1.120364545745069,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
33,-379.746835443038,10.03504521894455,1.2055738117775925,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
34,-329.11392405063293,10.864400080273724,1.3416205655410864,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
35,-278.4810126582279,11.83165746324662,1.431260953722638,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
36,-227.84810126582283,12.528779358216894,1.4681455306792452,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
37,-177.21518987341778,12.726386733492912,1.3867363928708603,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
38,-126.58227848101274,12.50035561556844,1.177503275211918,fragment,DHX36KO,WT,pooled,up,285,WT (DHX36KO DEGs)
