bin,position,mean,sem,ko,signal_geno,topology,direction,n_promoters,column
1,-2000,4.039866549196006,0.4801398110607021,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
2,-1949.367088607595,4.113381629588972,0.47803011234205234,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
3,-1898.73417721519,4.124425762023292,0.4492118142398101,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
4,-1848.1012658227849,4.06393990390959,0.3906094979076582,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
5,-1797.4683544303798,4.025198822919682,0.34736061433138704,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
6,-1746.8354430379748,4.057144599689561,0.3543612519060117,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
7,-1696.2025316455697,4.189315827876907,0.3877596336262289,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
8,-1645.5696202531644,4.191489642703302,0.4123183269023605,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
9,-1594.9367088607596,4.233273711129679,0.4326924472588313,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
10,-1544.3037974683543,4.2709734808925335,0.4285312679158773,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
11,-1493.6708860759495,4.372507468150483,0.4263323047013423,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
12,-1443.0379746835442,4.344786718671012,0.4216514029856004,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
13,-1392.4050632911392,4.317716490454071,0.419228595773076,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
14,-1341.7721518987341,4.466242824322849,0.5104166516365304,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
15,-1291.139240506329,4.48891812971094,0.5901389215151877,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
16,-1240.506329113924,4.506615399559228,0.6491518607701863,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
17,-1189.873417721519,4.690935741930457,0.6825048387315796,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
18,-1139.240506329114,4.723498692395834,0.6379234254289401,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
19,-1088.607594936709,4.553863437664476,0.4854923940600613,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
20,-1037.9746835443038,4.4020918790477355,0.35923356365870945,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
21,-987.3417721518988,4.346325007436018,0.3217610650455334,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
22,-936.7088607594937,4.392116461916313,0.33661457755636054,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
23,-886.0759493670887,4.534203629883373,0.3942159645165974,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
24,-835.4430379746836,4.694473208661225,0.4598482452504792,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
25,-784.8101265822784,4.774329344182794,0.514444243956731,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
26,-734.1772151898733,4.862002821712723,0.5459533819999137,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
27,-683.5443037974683,4.8496007759551265,0.5484485361393966,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
28,-632.9113924050632,4.952970179230222,0.5532079047332971,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
29,-582.2784810126582,5.040086298105569,0.5662055025720335,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
30,-531.6455696202531,5.09604194394109,0.5631422501883057,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
31,-481.0126582278481,5.039421751069891,0.5632187874899198,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
32,-430.37974683544303,4.975285990506769,0.5843883416712237,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
33,-379.746835443038,4.908892802014355,0.6155723453672443,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
34,-329.11392405063293,5.110846821764279,0.7202334151336606,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
35,-278.4810126582279,5.425144838974196,0.8641355904535196,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
36,-227.84810126582283,5.7703763168208155,0.954670073300901,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
37,-177.21518987341778,5.985550803722107,0.9843974163393668,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
38,-126.58227848101274,6.137693203558882,0.9407418726435106,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
39,-75.94936708860769,6.12177455593014,0.7991903044561187,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
40,-25.316455696202638,6.0864943062477606,0.7244230979523255,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
41,25.31645569620241,6.169879791468024,0.7394167576638506,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
42,75.94936708860769,6.1058328044755745,0.7240245180969104,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
43,126.58227848101251,6.168642641985075,0.7375714923565827,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
44,177.21518987341778,6.2237765388123325,0.7421512352587561,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
45,227.8481012658226,6.108527346612784,0.7197274022613307,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
46,278.4810126582279,5.899300857464253,0.6598091172044039,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
47,329.1139240506327,5.7108060491008,0.6051676326070753,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
48,379.746835443038,5.382407697700067,0.5202539038363426,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
49,430.37974683544326,5.174543778711409,0.48157702288280535,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
50,481.0126582278481,5.014671013672266,0.470624779840384,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
51,531.6455696202534,4.870069176305364,0.46008397409789875,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
52,582.2784810126582,4.827640174467698,0.4485121286020554,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
53,632.9113924050635,4.723065773923421,0.43244268829598964,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
54,683.5443037974683,4.519473978381188,0.39567880670011063,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
55,734.1772151898736,4.393766422463256,0.3772626594502068,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
56,784.8101265822784,4.337714305892655,0.36231174544265143,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
57,835.4430379746836,4.343731840764167,0.36469931941275224,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
58,886.0759493670885,4.326547567778347,0.3603869834890869,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
59,936.7088607594937,4.326617642265718,0.35807589559851555,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
60,987.3417721518986,4.398298599667166,0.3857147739270449,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
61,1037.9746835443038,4.55245070085411,0.48052098254805814,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
62,1088.6075949367087,4.53453720022987,0.5557380244135894,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
63,1139.240506329114,4.515502218601336,0.6023882989832645,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
64,1189.8734177215188,4.553591692322179,0.6035786535838236,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
65,1240.506329113924,4.60322303070366,0.60818370483286055,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
66,1291.1392405063293,4.66592571181934,0.5723813775798018,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
67,1341.7721518987341,4.602194325190832,0.49867899668970006,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
68,1392.4050632911394,4.424776363460861,0.422888962864556,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
69,1443.0379746835442,4.2038259629221395,0.3837610416171664,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
70,1493.6708860759495,4.087942977116709,0.36776929662156904,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
71,1544.3037974683543,4.005105755102381,0.35462429199288426,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
72,1594.9367088607596,3.875024105106805,0.3412644636024646,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
73,1645.5696202531644,3.8296807598473293,0.34562637159946863,DHX36KO,WT,pooled,up,361,WT (DHX36KO DEGs)
