gene_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000031	H19	2692.576642590046	-2.0726919723758326	0.09630863072656597	3.2326555015486575e-104	4.4242123194194926e-100
ENSMUSG00000036390	Gadd45a	1955.0449044516336	1.3486077042208915	0.07135104504417765	1.1429672843883773e-81	7.821325127069667e-78
ENSMUSG00000005892	Trh	655.615675304002	2.3739000722324373	0.12903472770992402	3.0329577455158806e-77	1.3836353235043446e-73
ENSMUSG00000024691	Fam111a	274.2290319105199	-2.74533465810621	0.15417419315335537	8.160384626828451e-73	2.7920756000693547e-69
ENSMUSG00000020661	Dnmt3a	1090.4588634471293	1.4857046777974716	0.08930106335216599	6.621372384335739e-64	1.8124020490403783e-60
ENSMUSG00000027770	Dhx36	254.32047960276836	-2.315117224510382	0.1467904547202696	1.1409170340622382e-57	2.2306557897393989e-54
ENSMUSG00000040250	Ints13	759.2408769127902	1.425702160157762	0.0905795411780139	1.099091275154661e-57	2.2306557897393989e-54
ENSMUSG00000021196	Pfkp	596.2499332402397	1.9638577151055299	0.12583715541872043	2.278749750197367e-56	3.8983711351501456e-53
ENSMUSG00000036782	Klhl13	994.3974985263288	-1.4568224458630694	0.09391949844194337	4.477318989673986e-56	6.808509743630908e-53
ENSMUSG00000072872	Rybp	1816.3285564854966	1.461797038359888	0.09488081141397652	2.3175965930566908e-55	3.1718626972573866e-52
ENSMUSG00000021268	Meg3	873.6637257778691	-1.8413761500877417	0.11959479636409466	6.122010948499117e-55	7.616894712832629e-52
ENSMUSG00000031950	Gabarapl2	3128.558362962944	1.0882804028782445	0.07334358593896848	8.210535629386069e-52	9.364115885314812e-49
ENSMUSG00000028179	Cth	416.6748590539824	-1.6490588837707976	0.11285380072892516	6.620695436868991e-50	6.970064442229923e-47
ENSMUSG00000024409	Psors1c2	643.7598508480702	1.8641293303735547	0.12860847703355993	4.5931538675971265e-49	4.490135987995305e-46
ENSMUSG00000021848	Otx2	499.6709397677122	2.1762822577491323	0.1521648046879658	5.851854218564635e-48	5.339231789018373e-45
ENSMUSG00000028527	Ak4	626.3202859122963	1.5793517652213498	0.11302026271115657	5.195228138104423e-46	4.443868268631071e-43
ENSMUSG00000030798	Cd37	396.8281772242577	2.451656786833273	0.17884874460966443	1.7071330651955076e-44	1.374342537074454e-41
ENSMUSG00000048878	Hexim1	1028.6414168112672	1.301351315159003	0.09783068441316527	1.9350454650283512e-42	1.4712795685765565e-39
ENSMUSG00000032366	Tpm1	5066.612340554619	-0.829588778103053	0.06435369333606779	2.5997722549689154e-39	1.8726570042897143e-36
ENSMUSG00000022283	Pabpc1	7599.0407412230325	-0.7926489486798075	0.06173178069279812	5.928669442655898e-39	4.056988499609431e-36
ENSMUSG00000025068	Gsto1	790.7697339452452	-1.423620573264846	0.11201033252696022	6.691954763283943e-39	4.3612425185859065e-36
ENSMUSG00000026970	Rbms1	2552.651870565385	-0.9678542707418049	0.0767951463655207	4.2088123037334973e-38	2.618263872222575e-35
ENSMUSG00000032085	Tagln	1695.8616336740592	-1.2893963458015583	0.1068646755702181	1.3391319408970307e-35	7.968417279615984e-33
ENSMUSG00000029922	Mkrn1	4108.651219398835	0.9532009161894545	0.07966773452645554	1.2483531268914583e-34	7.118733706098541e-32
ENSMUSG00000031951	Tmem231	759.5699771029513	1.342300932133253	0.11352813505544349	2.8145220291260347e-34	1.5407819396247566e-31
ENSMUSG00000031762	Mt2	3635.433559149346	-1.0029779719010252	0.08542307882098468	1.2822799833649331e-33	6.749724558589413e-31
ENSMUSG00000040562	Gstm2	242.08030160163756	-1.7236628819059139	0.1466552773382455	1.983445210019013e-33	1.0053863386785264e-30
ENSMUSG00000021835	Bmp4	841.173819040218	1.21097729379952	0.10421279464398965	2.5244386595449314e-33	1.2339095533761403e-30
ENSMUSG00000030282	Cmas	1335.4699551965762	0.9791425626800565	0.08373774523030655	2.6573300689148234e-33	1.2540765283851128e-30
ENSMUSG00000029304	Spp1	498.50407456774724	-1.2157967414829063	0.10751306843051604	9.289023161104174e-32	4.2376523660957245e-29
ENSMUSG00000015143	Actn1	5033.20302891482	-0.8042691740204153	0.07019937956699303	1.2225364873500643e-31	5.397301408346123e-29
ENSMUSG00000023039	Krt7	295.2747233713306	-1.7553832490266739	0.15493599435510655	2.776424136321177e-31	1.1874418978028635e-28
ENSMUSG00000024503	Spink1	84.90603049328321	-2.748439371303595	0.24576377578329872	5.56012043338865e-31	2.3059335833744567e-28
ENSMUSG00000035783	Acta2	2082.0868630161312	-1.1133160144265148	0.10018608076262879	1.0225190424397551e-30	4.11593988671485e-28
