gene_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000031	H19	2692.576642590046	4.0481479642888285	0.09177329427190557	0	0
ENSMUSG00000029304	Spp1	498.50407456774724	1.7887915885384662	0.09909933224515813	3.5844970905763813e-76	2.3939063819414365e-72
ENSMUSG00000035783	Acta2	2082.0868630161312	-1.8267703798792054	0.1040434945037547	3.723963103040291e-72	1.6580325055769721e-68
ENSMUSG00000039209	Rpl39l	806.2845695751325	1.7066523962383777	0.0992184418866829	5.1040532452546225e-70	1.7043709799216497e-66
ENSMUSG00000095180	Rhox5	475.8250537261728	1.988861104625167	0.12233043941238077	8.583185345743768e-62	2.29291213326199e-58
ENSMUSG00000090877	Hspa1b	515.2178189984919	-1.478484126802051	0.09639851041143473	7.830670780963494e-57	1.7432378270221563e-53
ENSMUSG00000001506	Col1a1	363.323419744854	-1.8427783772828226	0.12568119364131944	9.033700695828171e-52	1.723759145631098e-48
ENSMUSG00000018217	Pmp22	501.67672746732234	-1.4913572405207383	0.10472646754571334	8.8527335925353e-50	1.478074532443675e-46
ENSMUSG00000068220	Lgals1	2086.4647380615484	-1.0327010791328832	0.07511230775603196	1.959475599505892e-44	2.9080795091777996e-41
ENSMUSG00000030189	Ybx3	6644.30007853268	-0.8679553233059739	0.06286481973636883	2.71883564856989e-44	3.631548775794802e-41
ENSMUSG00000073568	Arl14epl	295.2190151817961	1.789356109604726	0.13613784494385603	7.994215800203815e-43	9.707158222120214e-40
ENSMUSG00000028773	Fabp3	551.4107325284159	1.212789083753756	0.09395982835771143	2.121746011034784e-40	2.3616801224493007e-37
ENSMUSG00000057836	Xlr3a	132.23984632496024	2.395508436864347	0.1846248601504404	3.8642249715159045e-40	3.970342534195226e-37
ENSMUSG00000036782	Klhl13	994.3974985263288	1.162441329713105	0.09073694662533426	1.3896352305510002e-39	1.3258112696049793e-36
ENSMUSG00000029695	Aass	274.6839308644386	2.3466565565507453	0.18237412658744392	1.4956895640021357e-39	1.3318617004251019e-36
ENSMUSG00000020415	Pttg1	1277.4553105318926	-1.0162986626832744	0.07937311533421076	6.688528819238106e-39	5.583667464910211e-36
ENSMUSG00000072944	Nup62cl	1572.79230691383	0.9982302438746923	0.07810545145423053	1.047045904471713e-38	8.226701262369806e-36
ENSMUSG00000031438	Rnf128	1358.6635751254505	-1.0236144304075068	0.08517259468522351	1.1416193867090729e-34	8.471450082373937e-32
ENSMUSG00000030357	Fkbp4	6033.921201072501	-0.89019231520453	0.07458423792943644	7.879022981083163e-34	5.538953155701464e-31
ENSMUSG00000030208	Emp1	626.3004846768725	-1.0332623314040983	0.09056903427551347	1.3811329118391123e-31	9.223896151717512e-29
ENSMUSG00000003153	Slc2a3	5853.268160792507	-0.8002825572689166	0.07037281648490328	8.905844059442933e-31	5.664540909618059e-28
ENSMUSG00000026564	Dusp27	299.6370072830231	1.4724566880479106	0.13847431911529123	5.1398052288101214e-30	3.120562656418945e-27
