gene_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000035783	Acta2	2082.0868630161312	-2.9678076899372527	0.1028464107649324	2.8037864597326864e-187	4.022031676486538e-183
ENSMUSG00000032366	Tpm1	5066.612340554619	-1.5631431267247797	0.06429165426586252	1.3488599976533343e-131	9.67469833316854e-128
ENSMUSG00000000031	H19	2692.576642590046	1.9571402530723374	0.08415345305696138	2.8970272459451198e-121	1.3852618614360914e-117
ENSMUSG00000003153	Slc2a3	5853.268160792507	-1.5422339782458476	0.070735557162113	2.1951306408852895e-106	7.872287260874869e-103
ENSMUSG00000032085	Tagln	1695.8616336740592	-2.298115164394806	0.10669587148657775	2.502933574988894e-105	7.180916426643138e-102
ENSMUSG00000001506	Col1a1	363.323419744854	-2.5637095488250647	0.1248107740012937	5.27089410354824e-97	1.260182931923325e-93
ENSMUSG00000020415	Pttg1	1277.4553105318926	-1.6576968815293722	0.08000046907507585	1.5938546438324734e-96	3.266263552253833e-93
ENSMUSG00000028527	Ak4	626.3202859122963	2.217830068835442	0.1105181408228934	8.710784853010991e-92	1.5619526089555335e-88
ENSMUSG00000031328	Flna	3027.462243242054	-1.38718499678143	0.07172707907344318	3.6542398085077395e-84	5.824452228115947e-81
ENSMUSG00000049382	Krt8	3123.3783332921976	-1.8774017682642536	0.10361079663533068	7.267545729158374e-75	1.0425294348477686e-71
ENSMUSG00000026970	Rbms1	2552.651870565385	-1.376602998096677	0.07589995249684885	2.4311475519491325e-74	3.1704374211554823e-71
ENSMUSG00000015143	Actn1	5033.20302891482	-1.2662636037434607	0.0698432598574739	3.2952282349519376e-74	3.939170752532129e-71
ENSMUSG00000040152	Thbs1	959.0682538034768	-1.8139422794082662	0.10097993796747147	1.567927110460518e-73	1.7301472615043178e-70
ENSMUSG00000048878	Hexim1	1028.6414168112672	1.6937532916563254	0.0953880988659367	9.688001557052792e-72	9.926741595423022e-69
ENSMUSG00000004665	Cnn2	868.1185475824265	-1.7511874392498166	0.09916826519586013	4.529019898237579e-71	4.331252696014538e-68
ENSMUSG00000036390	Gadd45a	1955.0449044516336	1.2358273427434199	0.07046837611855027	1.362340157026243e-69	1.2214230970338412e-66
ENSMUSG00000025068	Gsto1	790.7697339452452	-1.9218620131151662	0.11037249242788309	1.8001797406081196e-69	1.5190340222954986e-66
ENSMUSG00000030798	Cd37	396.8281772242577	3.0424549554601237	0.18081653842649922	1.1237006968354775e-67	8.955270275613848e-65
ENSMUSG00000031438	Rnf128	1358.6635751254505	-1.4875874538179858	0.08626842232903371	1.4386412165535705e-67	1.0861741184979457e-64
ENSMUSG00000021848	Otx2	499.6709397677122	2.5582877293187227	0.15233339621742328	1.6043889440865568e-66	1.1507479701460829e-63
ENSMUSG00000068220	Lgals1	2086.4647380615484	-1.2973114398112338	0.07613348958214414	7.088399483005196e-66	4.842051932557597e-63
ENSMUSG00000031950	Gabarapl2	3128.558362962944	1.2184322590909213	0.072290673077563955	1.7913401937405607e-64	1.1680352308731064e-61
ENSMUSG00000039405	Prss23	805.7024281873518	-1.870403233032393	0.11355422159936442	1.958543215995983e-62	1.2215348884114076e-59
ENSMUSG00000021196	Pfkp	596.2499332402397	2.049919934856136	0.12484178922126049	2.067985859147265e-62	1.2360523812278131e-59
ENSMUSG00000020661	Dnmt3a	1090.4588634471293	1.454240447088799	0.08800752800309986	3.079252021612308e-62	1.7668748100011422e-59
ENSMUSG00000031972	Acta1	395.6167765415271	-2.018901871035174	0.12363923107211558	1.0742528908280593e-61	5.926983738049428e-59
ENSMUSG00000022500	Litaf	548.1836148492523	-1.709940621959934	0.10526477566833738	1.4593419659095078e-60	7.753429815174774e-58
ENSMUSG00000024691	Fam111a	274.2290319105199	-2.205466184498118	0.13742034557770483	3.741706655482541e-60	1.9169564990320377e-57
ENSMUSG00000029484	Anxa3	608.7605874400316	-1.5562256367915124	0.09797405193251868	7.783135294024762e-58	3.849968130785696e-55
ENSMUSG00000028173	Wls	378.02389607333964	-2.083243406135676	0.13297256293910284	3.233158874091526e-57	1.5459888016280981e-54
ENSMUSG00000024206	Rfx2	1272.6973306259786	1.5415767192668501	0.09798351609346251	8.908286444078588e-57	4.1222377109776564e-54
ENSMUSG00000023043	Krt18	1196.138343942456	-1.7417267582553555	0.11182530414860854	5.688540714563045e-56	2.550066142200215e-53
ENSMUSG00000090877	Hspa1b	515.2178189984919	-1.4879886943951637	0.0981055667550805	6.65561006995031e-53	2.8931735288920364e-50
ENSMUSG00000034391	Fbxo15	2137.457651568945	1.3768627288613415	0.09131746439508794	3.342369266940216e-52	1.4101849157134529e-49
ENSMUSG00000067786	Nnat	1906.4412973822598	-1.9728431953375034	0.13277287714160446	1.3040234972615533e-51	5.344633448061995e-49
ENSMUSG00000026235	Epha4	309.73221079593935	1.9220732569469599	0.13072248395614447	1.6301963950143714e-50	6.495879801800322e-48
ENSMUSG00000027770	Dhx36	254.32047960276836	-1.9299546389269435	0.1337423194212528	8.554705647153232e-49	3.3166825002273813e-46
ENSMUSG00000051397	Tacstd2	224.22632603045514	-2.2992536713358	0.16155663470573806	2.050674309980439e-48	7.741295520176158e-46
ENSMUSG00000021493	Pdlim7	764.3233080296803	-1.5170810423696575	0.10583097319416368	1.3933707294007873e-47	5.1251033623728956e-45
ENSMUSG00000018076	Med13l	764.9060999746142	1.4892801527931023	0.1049075312720813	1.0955818996939096e-46	3.929030587777283e-44
ENSMUSG00000021823	Vcl	665.5314611656477	-1.2969003330473923	0.09342293499423754	1.358195229677295e-44	4.752026968224584e-42
ENSMUSG00000095180	Rhox5	475.8250537261728	1.72326996519565	0.1256844996620804	4.879015930596505e-44	1.6664162743906394e-41
ENSMUSG00000033149	Phldb2	780.2237528816381	-1.67837474649447	0.12233806217989261	5.065861595420111e-44	1.6899949903791045e-41
ENSMUSG00000023906	Cldn6	4570.118394541733	-1.4353690997319888	0.1048956286088971	1.6321318426059897e-43	5.321120745950664e-41
ENSMUSG00000018604	Tbx3	558.152871368991	1.290640376190149	0.09612379466303807	7.044456229321838e-42	2.2456161024360394e-39
ENSMUSG00000015932	Dstn	3216.3207479831012	-1.0762726213132916	0.08027788782419176	9.163206488137753e-42	2.8575260233116535e-39
ENSMUSG00000064145	Arih2	935.4601734965183	1.0886480098439835	0.08168924349918832	2.737321930277903e-41	8.354655976560962e-39
ENSMUSG00000031762	Mt2	3635.433559149346	-1.123066314941946	0.08427225203463158	2.84731596889118e-41	8.509322411196662e-39
ENSMUSG00000054727	1700013H16Rik	116.8131740434261	3.4999664975920504	0.2740943459792945	6.264544959915517e-41	1.8339774989793488e-38
ENSMUSG00000024048	Myl12a	5036.175805932119	-1.0918464829492214	0.08247172590724065	8.852371144004527e-41	2.5397452812148987e-38
ENSMUSG00000069833	Ahnak	583.8496640499254	-1.2521555553015442	0.09504589481332489	2.1470245363969312e-40	6.039032740120387e-38
ENSMUSG00000021953	Tdh	1060.93084739796	-1.1375703562862114	0.08651023885717234	3.031452240532654e-40	8.362727382777101e-38
ENSMUSG00000002602	Axl	311.0906333499675	-1.7206945126656603	0.1321469247485291	5.2138912509376665e-40	1.4111937734849213e-37
ENSMUSG00000038894	Irs2	310.14557999767595	-1.5180956112558703	0.11618124987853332	5.315550936840745e-40	1.412066262758898e-37
ENSMUSG00000023092	Fhl1	505.36661317937205	-1.3210137080189805	0.10091551571209764	5.977460864368846e-40	1.55903047453402e-37
ENSMUSG00000034675	Dbn1	516.8492607501173	-1.4550223202876198	0.11251809715075313	3.649055776495777e-39	9.3474473417557e-37
ENSMUSG00000004044	Cavin1	475.85443272829025	-1.5492917656163514	0.12225094179281293	7.940884400037203e-38	1.998455907342696e-35
ENSMUSG00000030770	Parva	335.15499208362996	-1.5814583401378703	0.12525062798489636	1.3118772022378443e-37	3.2446342182934266e-35
ENSMUSG00000022283	Pabpc1	7599.0407412230325	-0.7697013208981872	0.06187927507303267	7.117748917454324e-37	1.7305781054386826e-34
ENSMUSG00000008035	Mid1ip1	284.4527343838034	-1.5367739224707089	0.12298731068785178	7.784637238126518e-37	1.8611770196820817e-34
ENSMUSG00000004151	Etv1	242.2726482184879	1.7412733388309636	0.1405286513666244	1.5223761573903908e-36	3.580079668486091e-34
