bin,position,mean,sem,genotype,region,group,n_regions
1,-2000,4.161240438084655,0.10136888847802034,WT,promoter,parallel,7385
2,-1949.367088607595,4.1741935788198505,0.09995010905734285,WT,promoter,parallel,7385
3,-1898.73417721519,4.1694330956031385,0.09790023960202797,WT,promoter,parallel,7385
4,-1848.1012658227849,4.17424663021494,0.09942409522458519,WT,promoter,parallel,7385
5,-1797.4683544303798,4.191958241210138,0.10281708236595997,WT,promoter,parallel,7385
6,-1746.8354430379748,4.207052932558574,0.10587024576165383,WT,promoter,parallel,7385
7,-1696.2025316455697,4.231102694270036,0.10729032284890241,WT,promoter,parallel,7385
8,-1645.5696202531644,4.248563933837713,0.10597111537300156,WT,promoter,parallel,7385
9,-1594.9367088607596,4.273375640042343,0.10478702734878126,WT,promoter,parallel,7385
10,-1544.3037974683543,4.275956300143597,0.10217682950963262,WT,promoter,parallel,7385
11,-1493.6708860759495,4.278258472131623,0.10325616647459374,WT,promoter,parallel,7385
12,-1443.0379746835442,4.282479962616035,0.10473903013202249,WT,promoter,parallel,7385
13,-1392.4050632911392,4.311491585898093,0.10668045315392884,WT,promoter,parallel,7385
14,-1341.7721518987341,4.352375390961917,0.1130477452793223,WT,promoter,parallel,7385
15,-1291.139240506329,4.407294268540512,0.11968094285617019,WT,promoter,parallel,7385
16,-1240.506329113924,4.449612564173328,0.12278658179120396,WT,promoter,parallel,7385
17,-1189.873417721519,4.467016130389922,0.12397059227139344,WT,promoter,parallel,7385
18,-1139.240506329114,4.461944949259636,0.1221551549710823,WT,promoter,parallel,7385
19,-1088.607594936709,4.501287308922473,0.12324761146198177,WT,promoter,parallel,7385
20,-1037.9746835443038,4.545992410673242,0.12330967371502055,WT,promoter,parallel,7385
21,-987.3417721518988,4.581951009464221,0.12361834608606728,WT,promoter,parallel,7385
22,-936.7088607594937,4.576971706458285,0.12136078802263324,WT,promoter,parallel,7385
23,-886.0759493670887,4.5459893686200505,0.11717107302766626,WT,promoter,parallel,7385
24,-835.4430379746836,4.5162190006484675,0.1116096631405777,WT,promoter,parallel,7385
25,-784.8101265822784,4.53384519931668,0.10909844664908745,WT,promoter,parallel,7385
26,-734.1772151898733,4.588017382821174,0.11083306452525313,WT,promoter,parallel,7385
27,-683.5443037974683,4.653963296708606,0.11225273276923564,WT,promoter,parallel,7385
28,-632.9113924050632,4.73379298199458,0.11197284373401836,WT,promoter,parallel,7385
29,-582.2784810126582,4.813148715368218,0.11336953855246606,WT,promoter,parallel,7385
30,-531.6455696202531,4.918568152783014,0.11832623046065457,WT,promoter,parallel,7385
31,-481.0126582278481,5.014287464916881,0.12433221549396002,WT,promoter,parallel,7385
32,-430.37974683544303,5.158987501402252,0.1341647132022307,WT,promoter,parallel,7385
33,-379.746835443038,5.314490367993898,0.1412986789794235,WT,promoter,parallel,7385
34,-329.11392405063293,5.517612342111953,0.15010423391292857,WT,promoter,parallel,7385
35,-278.4810126582279,5.76045626150569,0.16240910039764825,WT,promoter,parallel,7385
36,-227.84810126582283,6.023428069901881,0.1766499459896198,WT,promoter,parallel,7385
37,-177.21518987341778,6.284598627692876,0.1930986717287633,WT,promoter,parallel,7385
38,-126.58227848101274,6.5531398673123205,0.20686430895352437,WT,promoter,parallel,7385
39,-75.94936708860769,6.743056824689308,0.2118792686744835,WT,promoter,parallel,7385
40,-25.316455696202638,6.742125459847938,0.2066194169817324,WT,promoter,parallel,7385
41,25.31645569620241,6.6339113274559,0.19441916032631462,WT,promoter,parallel,7385
42,75.94936708860769,6.4560506898097225,0.17981658883519944,WT,promoter,parallel,7385
43,126.58227848101251,6.2751524453822825,0.16653487403356554,WT,promoter,parallel,7385
44,177.21518987341778,6.125486764521288,0.1588410490813121,WT,promoter,parallel,7385
45,227.8481012658226,5.929546011496871,0.15110699887892157,WT,promoter,parallel,7385
46,278.4810126582279,5.699867599810039,0.14271353200629694,WT,promoter,parallel,7385
47,329.1139240506327,5.52473732515351,0.13735451117961534,WT,promoter,parallel,7385
48,379.746835443038,5.351602920927385,0.13166071484833144,WT,promoter,parallel,7385
49,430.37974683544326,5.188965945293768,0.12417533024447258,WT,promoter,parallel,7385
50,481.0126582278481,5.025964867715507,0.11845732332740842,WT,promoter,parallel,7385
51,531.6455696202534,4.919580480303622,0.11716332760356035,WT,promoter,parallel,7385
52,582.2784810126582,4.863107034183361,0.11743063858559338,WT,promoter,parallel,7385
53,632.9113924050635,4.801515812526571,0.11798646812425458,WT,promoter,parallel,7385
54,683.5443037974683,4.7227325779281655,0.11658834444528252,WT,promoter,parallel,7385
55,734.1772151898736,4.674281845177035,0.1142389207206695,WT,promoter,parallel,7385
56,784.8101265822784,4.642673482735629,0.11139028048315136,WT,promoter,parallel,7385
57,835.4430379746836,4.603004757634836,0.111463234270256,WT,promoter,parallel,7385
58,886.0759493670885,4.549134378303445,0.11416601288053742,WT,promoter,parallel,7385
59,936.7088607594937,4.527894023482026,0.11762671915722697,WT,promoter,parallel,7385
60,987.3417721518986,4.5119065183553655,0.11877020986365706,WT,promoter,parallel,7385
61,1037.9746835443038,4.503595084958947,0.12169675513431541,WT,promoter,parallel,7385
62,1088.6075949367087,4.452056176733147,0.12114556353509116,WT,promoter,parallel,7385
63,1139.240506329114,4.4074411717029385,0.12107184752518556,WT,promoter,parallel,7385
64,1189.8734177215188,4.400501270421819,0.12173147984856021,WT,promoter,parallel,7385
65,1240.506329113924,4.388917490868987,0.12114635056387628,WT,promoter,parallel,7385
66,1291.1392405063293,4.354980128123943,0.11708382042657274,WT,promoter,parallel,7385
67,1341.7721518987341,4.313986772226228,0.11264035324953249,WT,promoter,parallel,7385
68,1392.4050632911394,4.310278682844226,0.10810414154348573,WT,promoter,parallel,7385
69,1443.0379746835442,4.297086911772799,0.10654810063304138,WT,promoter,parallel,7385
70,1493.6708860759495,4.259506868181635,0.10689603364433128,WT,promoter,parallel,7385
71,1544.3037974683543,4.253081402455568,0.10883648696207388,WT,promoter,parallel,7385
72,1594.9367088607596,4.220783847902677,0.10911821177403208,WT,promoter,parallel,7385
73,1645.5696202531644,4.178201404490284,0.10743136117021186,WT,promoter,parallel,7385
74,1696.2025316455697,4.154751444140021,0.10403108188988382,WT,promoter,parallel,7385
75,1746.8354430379745,4.147528223877754,0.09984736255226413,WT,promoter,parallel,7385
76,1797.4683544303798,4.13596706844759,0.09845181629349328,WT,promoter,parallel,7385
77,1848.1012658227846,4.150730838181068,0.10021175392119461,WT,promoter,parallel,7385
78,1898.73417721519,4.184160117913304,0.10638934460664018,WT,promoter,parallel,7385
79,1949.3670886075947,4.241122549315711,0.1126714999519114,WT,promoter,parallel,7385
80,2000,4.232624952259894,0.11478642512615081,WT,promoter,parallel,7385
1,-2000,5.031558035155434,0.5720551546041517,WT,promoter,antiparallel,670
2,-1949.367088607595,4.974091027767504,0.5670388696308514,WT,promoter,antiparallel,670
3,-1898.73417721519,4.886551304935816,0.5192731578626748,WT,promoter,antiparallel,670
4,-1848.1012658227849,4.713694439565365,0.43649135284148405,WT,promoter,antiparallel,670
5,-1797.4683544303798,4.4935609320906265,0.368631589541925,WT,promoter,antiparallel,670
6,-1746.8354430379748,4.353451990033856,0.3182775216132484,WT,promoter,antiparallel,670
7,-1696.2025316455697,4.246937643930093,0.2989596599215114,WT,promoter,antiparallel,670
8,-1645.5696202531644,4.1933318128917945,0.29541440990180057,WT,promoter,antiparallel,670
9,-1594.9367088607596,4.160057950644944,0.29900355173742704,WT,promoter,antiparallel,670
10,-1544.3037974683543,4.040853283871465,0.28985810298994086,WT,promoter,antiparallel,670
11,-1493.6708860759495,3.9620258971019764,0.2693429004370363,WT,promoter,antiparallel,670
12,-1443.0379746835442,3.8438765232456262,0.23605396521126806,WT,promoter,antiparallel,670
13,-1392.4050632911392,3.7223225528885475,0.21343745839460565,WT,promoter,antiparallel,670
14,-1341.7721518987341,3.672495575202638,0.21501823719401694,WT,promoter,antiparallel,670
15,-1291.139240506329,3.680105074959608,0.2260053928915371,WT,promoter,antiparallel,670
16,-1240.506329113924,3.675511709871577,0.23758444012374488,WT,promoter,antiparallel,670
17,-1189.873417721519,3.756782284755612,0.25077037341933706,WT,promoter,antiparallel,670
18,-1139.240506329114,3.7454600073828628,0.25121654630743107,WT,promoter,antiparallel,670
19,-1088.607594936709,3.703693027269781,0.24185571090654223,WT,promoter,antiparallel,670
20,-1037.9746835443038,3.711612441223059,0.23561288966989583,WT,promoter,antiparallel,670
21,-987.3417721518988,3.737153698592637,0.2357075439924764,WT,promoter,antiparallel,670
22,-936.7088607594937,3.7579681897104082,0.23590110341879275,WT,promoter,antiparallel,670
23,-886.0759493670887,3.8164369942714917,0.23715263851807492,WT,promoter,antiparallel,670
24,-835.4430379746836,3.8409883229376667,0.23846754243603263,WT,promoter,antiparallel,670
