bin,position,mean,sem,genotype,feature,n_regions
1,-2000,2.3158147475818502,0.05035725007066852,WT,promoter,16000
2,-1949.367088607595,2.3117866392225874,0.050254342560153875,WT,promoter,16000
3,-1898.73417721519,2.3070588497186875,0.04942484717928986,WT,promoter,16000
4,-1848.1012658227849,2.31025457749807,0.0493983570987245,WT,promoter,16000
5,-1797.4683544303798,2.3111493023898078,0.049743100637545626,WT,promoter,16000
6,-1746.8354430379748,2.3119891053573243,0.04988700304004166,WT,promoter,16000
7,-1696.2025316455697,2.3081803298585446,0.04913147514690755,WT,promoter,16000
8,-1645.5696202531644,2.298639356457235,0.04747356931645612,WT,promoter,16000
9,-1594.9367088607596,2.2956690729980167,0.04650714792854498,WT,promoter,16000
10,-1544.3037974683543,2.288699214555825,0.04537181362615646,WT,promoter,16000
11,-1493.6708860759495,2.2791186642090664,0.0448934044877418,WT,promoter,16000
12,-1443.0379746835442,2.2674782526352177,0.04454862757824869,WT,promoter,16000
13,-1392.4050632911392,2.262894114451494,0.04525904747981905,WT,promoter,16000
14,-1341.7721518987341,2.275910007720558,0.04817620271180344,WT,promoter,16000
15,-1291.139240506329,2.289458925509034,0.05133774674861005,WT,promoter,16000
16,-1240.506329113924,2.3020622784217255,0.05257003844664807,WT,promoter,16000
17,-1189.873417721519,2.3132199256018025,0.05313978599720168,WT,promoter,16000
18,-1139.240506329114,2.3097612117154513,0.051583236940256995,WT,promoter,16000
19,-1088.607594936709,2.3151493230951044,0.0505355601128561,WT,promoter,16000
20,-1037.9746835443038,2.323618740515019,0.04976483778284869,WT,promoter,16000
21,-987.3417721518988,2.3383423754206403,0.049526623745268006,WT,promoter,16000
22,-936.7088607594937,2.347096940174516,0.04909044880319818,WT,promoter,16000
23,-886.0759493670887,2.3450764724491777,0.04826496943073607,WT,promoter,16000
24,-835.4430379746836,2.3303990734412965,0.04644445014389543,WT,promoter,16000
25,-784.8101265822784,2.3317549428893503,0.045440118204253525,WT,promoter,16000
26,-734.1772151898733,2.3592696625006577,0.04617697335005094,WT,promoter,16000
27,-683.5443037974683,2.389324245979138,0.04706857304972576,WT,promoter,16000
28,-632.9113924050632,2.4340501719929772,0.04794631079020987,WT,promoter,16000
29,-582.2784810126582,2.474248580896685,0.04907825815325446,WT,promoter,16000
30,-531.6455696202531,2.5296913735972852,0.051588133729516226,WT,promoter,16000
31,-481.0126582278481,2.5807998307335756,0.054916492137632424,WT,promoter,16000
32,-430.37974683544303,2.645087108728305,0.06047567194108802,WT,promoter,16000
33,-379.746835443038,2.7095415708320094,0.06528468418079436,WT,promoter,16000
34,-329.11392405063293,2.7989360730779693,0.0709679433994348,WT,promoter,16000
35,-278.4810126582279,2.9221506495562544,0.07892411993909636,WT,promoter,16000
36,-227.84810126582283,3.041233280213463,0.08591249255331425,WT,promoter,16000
37,-177.21518987341778,3.147356493126903,0.0922496405878244,WT,promoter,16000
38,-126.58227848101274,3.2395428747610255,0.09636815022350077,WT,promoter,16000
39,-75.94936708860769,3.3086071448269156,0.09730705789681202,WT,promoter,16000
40,-25.316455696202638,3.3186510281574435,0.09447584709982497,WT,promoter,16000
41,25.31645569620241,3.2759468870698414,0.08940921335639006,WT,promoter,16000
42,75.94936708860769,3.197399448220592,0.08324283479816184,WT,promoter,16000
43,126.58227848101251,3.110479767911418,0.07751539430963068,WT,promoter,16000
44,177.21518987341778,3.0296631602520536,0.07299479054264577,WT,promoter,16000
45,227.8481012658226,2.946858285847831,0.06883416838200443,WT,promoter,16000
46,278.4810126582279,2.8478559745141063,0.06420921846637166,WT,promoter,16000
47,329.1139240506327,2.767067922743654,0.061468901454090556,WT,promoter,16000
48,379.746835443038,2.6866258976079957,0.0586053326865099,WT,promoter,16000
49,430.37974683544326,2.631032721244767,0.055762299432869374,WT,promoter,16000
50,481.0126582278481,2.5780945845156498,0.05400916895904577,WT,promoter,16000
51,531.6455696202534,2.543493019956025,0.05435779942716576,WT,promoter,16000
52,582.2784810126582,2.5199117377905025,0.054600618427195644,WT,promoter,16000
53,632.9113924050635,2.4994704509089067,0.05538126223324294,WT,promoter,16000
54,683.5443037974683,2.46977591652948,0.055906650485112806,WT,promoter,16000
55,734.1772151898736,2.4489678792430363,0.05585822689929228,WT,promoter,16000
56,784.8101265822784,2.4416462818641387,0.055825960651013834,WT,promoter,16000
57,835.4430379746836,2.438674090240834,0.05615808284385587,WT,promoter,16000
58,886.0759493670885,2.4241620653447398,0.056662709419893244,WT,promoter,16000
59,936.7088607594937,2.424213621820227,0.057179155783437755,WT,promoter,16000
60,987.3417721518986,2.4178123353050593,0.05651600335169612,WT,promoter,16000
61,1037.9746835443038,2.4157604077508266,0.05813856118832999,WT,promoter,16000
62,1088.6075949367087,2.399898262356906,0.05824867712145003,WT,promoter,16000
63,1139.240506329114,2.382913618628687,0.0586448652520205,WT,promoter,16000
64,1189.8734177215188,2.3777779678892563,0.05917465213563467,WT,promoter,16000
65,1240.506329113924,2.3758841260809502,0.0587527131294201,WT,promoter,16000
66,1291.1392405063293,2.3725951618655543,0.05674644255534658,WT,promoter,16000
67,1341.7721518987341,2.3727520957096577,0.0549311811704809,WT,promoter,16000
68,1392.4050632911394,2.3635987369571327,0.052239233568256924,WT,promoter,16000
69,1443.0379746835442,2.34409830146258,0.05086522908986704,WT,promoter,16000
70,1493.6708860759495,2.3221331689594473,0.05066528689621001,WT,promoter,16000
71,1544.3037974683543,2.3172938757459316,0.05084146714606,WT,promoter,16000
72,1594.9367088607596,2.306292441429401,0.05098818165859366,WT,promoter,16000
73,1645.5696202531644,2.2913373853235273,0.05035975430146836,WT,promoter,16000
74,1696.2025316455697,2.2836431932616823,0.04916938409350808,WT,promoter,16000
75,1746.8354430379745,2.2820673807088325,0.04787758492286285,WT,promoter,16000
76,1797.4683544303798,2.2825345485053323,0.04874714688216025,WT,promoter,16000
77,1848.1012658227846,2.2916069729965836,0.049799902497247105,WT,promoter,16000
78,1898.73417721519,2.3081576910702375,0.052226878058232125,WT,promoter,16000
79,1949.3670886075947,2.3220048925596966,0.053965109409818184,WT,promoter,16000
