genotype	region_type	window_size	strand	n_total	n_with_motif	pct_with_motif
DHX36KO	5'UTR	250	+	111	111	100
DHX36KO	5'UTR	250	-	126	126	100
DHX36KO	5'UTR	500	+	114	114	100
DHX36KO	5'UTR	500	-	123	123	100
DHX36KO	promoter	250	+	883	883	100
DHX36KO	promoter	250	-	880	880	100
DHX36KO	promoter	500	+	860	860	100
DHX36KO	promoter	500	-	903	903	100
FANCJKO	5'UTR	250	+	137	137	100
FANCJKO	5'UTR	250	-	126	126	100
FANCJKO	5'UTR	500	+	135	135	100
FANCJKO	5'UTR	500	-	128	128	100
FANCJKO	promoter	250	+	870	870	100
FANCJKO	promoter	250	-	867	867	100
FANCJKO	promoter	500	+	910	910	100
FANCJKO	promoter	500	-	827	827	100
WT	5'UTR	250	+	110	110	100
WT	5'UTR	250	-	123	123	100
WT	5'UTR	500	+	109	109	100
WT	5'UTR	500	-	124	124	100
WT	promoter	250	+	912	912	100
WT	promoter	250	-	855	855	100
WT	promoter	500	+	895	895	100
WT	promoter	500	-	872	872	100
dKO	5'UTR	250	+	117	117	100
dKO	5'UTR	250	-	129	129	100
dKO	5'UTR	500	+	120	120	100
dKO	5'UTR	500	-	126	126	100
dKO	promoter	250	+	879	879	100
dKO	promoter	250	-	875	875	100
dKO	promoter	500	+	899	899	100
dKO	promoter	500	-	855	855	100
