genotype,analysis,n,pearson_r,pearson_p,spearman_rho,spearman_p
WT,mean_promoter,24483,0.54391313536801,0,0.39984344983618797,0
WT,binned_pooled,29990,0.4090347611974331,0,0.26802587973777237,0
WT,binned_per_promoter,1951,0.306266198219456,NA,NA,NA
DHX36KO,mean_promoter,24483,0.5411996420440008,0,0.41726405378444925,0
DHX36KO,binned_pooled,29990,0.4118395256177979,0,0.2860082713275878,0
DHX36KO,binned_per_promoter,1950,0.28938517583509216,NA,NA,NA
FANCJKO,mean_promoter,24483,0.56855883002786,0,0.4336743926255597,0
FANCJKO,binned_pooled,29990,0.43620451113778,0,0.293079432012578,0
FANCJKO,binned_per_promoter,1975,0.30052012428490593,NA,NA,NA
dKO,mean_promoter,24483,0.5066098607615819,0,0.4094526171341534,0
dKO,binned_pooled,29990,0.4060562875141065,0,0.28584847911884204,0
dKO,binned_per_promoter,2150,0.3094955762417981,NA,NA,NA
