genotype,stratify_by,signal,quartile,position,mean,sem,n
WT,G4_quartile,S9.6 (R-loop),Q1,-2000,0.5860115973772003,0.024565850460675207,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1959.5959595959596,0.5765894598333386,0.024542738114227677,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1919.1919191919192,0.59179891416278,0.025085321761116722,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1878.7878787878788,0.5865464262322311,0.024807780416960384,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1838.3838383838383,0.5808915596702104,0.02431458149811017,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1797.979797979798,0.5892326874254986,0.024526072288903807,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1757.5757575757575,0.5809715993874163,0.024262566552914897,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1717.1717171717173,0.5901211656738246,0.024805401181034272,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1676.7676767676767,0.5899070684429476,0.024590053679183415,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1636.3636363636365,0.5680238044364133,0.024436035566271077,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1595.9595959595958,0.5437646667137374,0.024220459527801205,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1555.5555555555557,0.5498884887656589,0.023905125325323136,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1515.1515151515152,0.5617303221869655,0.02420285622801502,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1474.7474747474748,0.5542333020493402,0.023672528018958645,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1434.3434343434344,0.5407027747110178,0.022651194171065113,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1393.939393939394,0.5432810262364172,0.023439098377699297,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1353.5353535353536,0.5286015778267871,0.023344279223296235,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1313.1313131313132,0.5238012646695852,0.023255010978362092,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1272.7272727272727,0.5225303627902455,0.024850005747488343,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1232.3232323232323,0.5400386820384373,0.025058313787694245,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1191.919191919192,0.5490302116776695,0.024288308243232384,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1151.5151515151515,0.5583857033294332,0.02531116316171269,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1111.1111111111113,0.5556256312477619,0.023967063299590377,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1070.7070707070707,0.5479935992949655,0.02378537069061385,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-1030.3030303030305,0.5538156660736065,0.024246849479484484,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-989.89898989899,0.5530832144904722,0.02451496449616164,6117
WT,G4_quartile,S9.6 (R-loop),Q1,-949.4949494949497,0.5517387054505045,0.023881095667516596,6117
