genotype	region_type	window_size	strand	n	mean_g4	median_g4	sd_g4	q25	q75
DHX36KO	5'UTR	250	+	111	0.14437791084497673	0.10179640718562874	0.16062105885510503	0.04590818363273453	0.18762475049900199
DHX36KO	5'UTR	250	-	126	0.1443145455121503	0.10878243512974052	0.13785842545229746	0.04441117764471058	0.2085828343313373
DHX36KO	5'UTR	500	+	114	0.10061867956604799	0.06743256743256743	0.1079774123620613	0.02872127872127872	0.13586413586413587
DHX36KO	5'UTR	500	-	123	0.10850937680205973	0.08791208791208792	0.10323676551291251	0.045454545454545456	0.14135864135864135
DHX36KO	promoter	250	+	883	0.13711874100044533	0.10578842315369262	0.12887570552868882	0.043912175648702596	0.18962075848303392
DHX36KO	promoter	250	-	880	0.13644302304481945	0.10379241516966067	0.12229142322586788	0.05389221556886228	0.18762475049900199
DHX36KO	promoter	500	+	860	0.10420742048649026	0.08091908091908091	0.09317722145139908	0.03596403596403597	0.1461038961038961
DHX36KO	promoter	500	-	903	0.10417157593237328	0.07692307692307693	0.09628371726088888	0.03696303696303696	0.13936063936063936
FANCJKO	5'UTR	250	+	137	0.12762795576729752	0.09780439121756487	0.11618517593616332	0.043912175648702596	0.16966067864271456
FANCJKO	5'UTR	250	-	126	0.11982384437474258	0.08682634730538923	0.11357799300343006	0.043912175648702596	0.16666666666666666
FANCJKO	5'UTR	500	+	135	0.09541569541569542	0.07092907092907093	0.08560708114789763	0.036463536463536464	0.13986013986013984
FANCJKO	5'UTR	500	-	128	0.09701236263736264	0.07442557442557443	0.086356127083103	0.03371628371628372	0.13286713286713286
FANCJKO	promoter	250	+	870	0.13208525477780073	0.10179640718562874	0.12059311041562829	0.043912175648702596	0.17964071856287425
FANCJKO	promoter	250	-	867	0.12869762205692423	0.10179640718562874	0.10816283749239848	0.0499001996007984	0.17864271457085829
FANCJKO	promoter	500	+	910	0.10071247433884796	0.07792207792207792	0.09149443605657143	0.03296703296703297	0.14185814185814186
FANCJKO	promoter	500	-	827	0.10238854253364532	0.07992007992007992	0.08710153286693605	0.03696303696303696	0.13886113886113885
WT	5'UTR	250	+	110	0.12516784612592996	0.08582834331337326	0.10826535226421297	0.05189620758483034	0.1716566866267465
WT	5'UTR	250	-	123	0.11849471788131055	0.09780439121756487	0.10053986975194287	0.038922155688622756	0.15568862275449102
WT	5'UTR	500	+	109	0.09936852138687001	0.07292707292707293	0.08720334690396156	0.03196803196803197	0.13586413586413587
WT	5'UTR	500	-	124	0.08833908027456415	0.059940059940059943	0.08565191073581181	0.02872127872127872	0.11313686313686314
WT	promoter	250	+	912	0.13239529712504816	0.09880239520958084	0.1273150646776117	0.041916167664670656	0.18363273453093812
WT	promoter	250	-	855	0.13256994782365095	0.0998003992015968	0.11831753415013377	0.043912175648702596	0.18163672654690619
WT	promoter	500	+	895	0.10018026666071358	0.07692307692307693	0.08828287491992497	0.03696303696303696	0.14085914085914086
WT	promoter	500	-	872	0.1006149813489263	0.07392607392607392	0.0911695215803488	0.03496503496503497	0.13686313686313686
dKO	5'UTR	250	+	117	0.15256666154869747	0.1157684630738523	0.13691528747530088	0.05588822355289421	0.19760479041916168
dKO	5'UTR	250	-	129	0.13450618143557846	0.0998003992015968	0.11780604107403643	0.05788423153692615	0.18962075848303392
dKO	5'UTR	500	+	120	0.11419413919413919	0.08091908091908093	0.1018983320049679	0.04070929070929071	0.15909090909090912
dKO	5'UTR	500	-	126	0.1013668870811728	0.08191808191808192	0.08797170683066448	0.03271728271728272	0.14635364635364634
dKO	promoter	250	+	879	0.13041947958463052	0.10379241516966067	0.11155374661056035	0.04790419161676647	0.18363273453093812
dKO	promoter	250	-	875	0.13385571713715427	0.10379241516966067	0.1211246917689334	0.05189620758483034	0.17365269461077845
dKO	promoter	500	+	899	0.09814879225335288	0.07592407592407592	0.08327888732866275	0.03596403596403597	0.14085914085914086
dKO	promoter	500	-	855	0.10352454562980878	0.07992007992007992	0.0900126852025196	0.03896103896103896	0.13836163836163834
