ko,dz_class,genotype,bin,position,mean,sem,n
DHX36KO,gained,WT,1,-2000,3.6959763152381173,0.790184488254453,102
DHX36KO,gained,WT,2,-1949.367088607595,3.7067081250318514,0.7529081087556181,102
DHX36KO,gained,WT,3,-1898.73417721519,3.5736182733766393,0.5895373925000881,102
DHX36KO,gained,WT,4,-1848.1012658227849,3.551095186916052,0.5035347862178293,102
DHX36KO,gained,WT,5,-1797.4683544303798,3.391996120035259,0.43679516575983535,102
DHX36KO,gained,WT,6,-1746.8354430379748,3.473068684674556,0.4577639848176392,102
DHX36KO,gained,WT,7,-1696.2025316455697,3.3314529162138897,0.47278094313983576,102
DHX36KO,gained,WT,8,-1645.5696202531644,2.957814157694773,0.44384248177396696,102
DHX36KO,gained,WT,9,-1594.9367088607596,2.745519400920743,0.43798277005607145,102
DHX36KO,gained,WT,10,-1544.3037974683543,2.667224340493383,0.43187739906778355,102
DHX36KO,gained,WT,11,-1493.6708860759495,2.6485233384799334,0.37233497481373634,102
DHX36KO,gained,WT,12,-1443.0379746835442,2.7593184437393363,0.4145486965799145,102
DHX36KO,gained,WT,13,-1392.4050632911392,2.8542834741928997,0.4245439700201721,102
DHX36KO,gained,WT,14,-1341.7721518987341,2.797126806927662,0.36722873768129416,102
DHX36KO,gained,WT,15,-1291.139240506329,2.747204616537281,0.3449738717024602,102
DHX36KO,gained,WT,16,-1240.506329113924,2.835911277080673,0.3326638272351557,102
DHX36KO,gained,WT,17,-1189.873417721519,3.109519146595126,0.34624333237345584,102
DHX36KO,gained,WT,18,-1139.240506329114,3.0458434915620516,0.34937515566214405,102
DHX36KO,gained,WT,19,-1088.607594936709,2.8901011840891995,0.3281197077303223,102
DHX36KO,gained,WT,20,-1037.9746835443038,2.8757894628811504,0.35546960363407604,102
DHX36KO,gained,WT,21,-987.3417721518988,3.0380210992323806,0.41462517562320556,102
DHX36KO,gained,WT,22,-936.7088607594937,3.0630764981344636,0.4549494768390846,102
DHX36KO,gained,WT,23,-886.0759493670887,2.9830477520609215,0.44450867124181065,102
DHX36KO,gained,WT,24,-835.4430379746836,2.7429096497975145,0.38046003497258335,102
DHX36KO,gained,WT,25,-784.8101265822784,2.5908887468443975,0.3279641568068824,102
DHX36KO,gained,WT,26,-734.1772151898733,2.6328757414163326,0.30894132595065316,102
DHX36KO,gained,WT,27,-683.5443037974683,2.683133221249175,0.29782011187167534,102
DHX36KO,gained,WT,28,-632.9113924050632,2.6442498806956545,0.2891507784534122,102
DHX36KO,gained,WT,29,-582.2784810126582,2.547002705881019,0.2726405195444803,102
DHX36KO,gained,WT,30,-531.6455696202531,2.469945886400011,0.25310143594600715,102
DHX36KO,gained,WT,31,-481.0126582278481,2.462731181079266,0.24055204547685344,102
DHX36KO,gained,WT,32,-430.37974683544303,2.523755072651346,0.24107607149929033,102
DHX36KO,gained,WT,33,-379.746835443038,2.6374696994061564,0.25138216557767257,102
DHX36KO,gained,WT,34,-329.11392405063293,2.5869957723259147,0.25268772449367993,102
DHX36KO,gained,WT,35,-278.4810126582279,2.4373111970673977,0.23860723224342414,102
DHX36KO,gained,WT,36,-227.84810126582283,2.3494008389407512,0.23415075395929247,102
DHX36KO,gained,WT,37,-177.21518987341778,2.305857008617688,0.2531042163416183,102
DHX36KO,gained,WT,38,-126.58227848101274,2.388556798408234,0.2745976718892859,102
DHX36KO,gained,WT,39,-75.94936708860769,2.5362175788676815,0.29729708608376454,102
DHX36KO,gained,WT,40,-25.316455696202638,2.6726481268998064,0.3177502890476499,102
DHX36KO,gained,WT,41,25.31645569620241,2.7297967578383053,0.33318461367301866,102
DHX36KO,gained,WT,42,75.94936708860769,2.629921985895805,0.295048225415315,102
DHX36KO,gained,WT,43,126.58227848101251,2.590962057939542,0.260285406238531,102
DHX36KO,gained,WT,44,177.21518987341778,2.7191080511707106,0.26268931189457895,102
DHX36KO,gained,WT,45,227.8481012658226,2.759405376825457,0.26068311145275114,102
DHX36KO,gained,WT,46,278.4810126582279,2.775580858553157,0.2899679499960689,102
DHX36KO,gained,WT,47,329.1139240506327,2.8189248104500613,0.32592616312791506,102
DHX36KO,gained,WT,48,379.746835443038,2.836727245633119,0.3823294912589367,102
DHX36KO,gained,WT,49,430.37974683544326,2.870813181314593,0.4065974711168362,102
DHX36KO,gained,WT,50,481.0126582278481,2.6879063049095127,0.36792916240358264,102
DHX36KO,gained,WT,51,531.6455696202534,2.6795345504455317,0.3559891528659371,102
DHX36KO,gained,WT,52,582.2784810126582,2.7098255710274564,0.346175875741877,102
DHX36KO,gained,WT,53,632.9113924050635,2.81292934799506,0.3480823493476192,102
DHX36KO,gained,WT,54,683.5443037974683,2.95055643782117,0.3314249090909674,102
