genotype,bin,position,mean,sem,n
WT,1,-2000,1.9991670297106796,0.05466485738333884,9405
WT,2,-1949.367088607595,2.0106036328136376,0.053710692731085544,9405
WT,3,-1898.73417721519,2.0103619991810087,0.051377136608679846,9405
WT,4,-1848.1012658227849,2.017490949144971,0.04965793295753998,9405
WT,5,-1797.4683544303798,2.019891552728774,0.049174023102336775,9405
WT,6,-1746.8354430379748,2.028295522944007,0.04898320113281178,9405
WT,7,-1696.2025316455697,2.0320893646359557,0.0490835536381655,9405
WT,8,-1645.5696202531644,2.023822108060412,0.049142074703696276,9405
WT,9,-1594.9367088607596,2.019496212243552,0.04958799054180305,9405
WT,10,-1544.3037974683543,2.011715014298368,0.049987117949431704,9405
WT,11,-1493.6708860759495,1.997054842181141,0.05091714328529055,9405
WT,12,-1443.0379746835442,1.9941000413344203,0.0514626529797556,9405
WT,13,-1392.4050632911392,1.9920665675549447,0.051524598235490465,9405
WT,14,-1341.7721518987341,1.9912264943261533,0.050983813858421996,9405
WT,15,-1291.139240506329,2.0064472073211936,0.05105180027520392,9405
WT,16,-1240.506329113924,2.0188280444942213,0.05096747940404113,9405
WT,17,-1189.873417721519,2.016787840375225,0.05056163117199592,9405
WT,18,-1139.240506329114,2.0009264378377374,0.05021750994413892,9405
WT,19,-1088.607594936709,1.9876938625711555,0.0498063077024027,9405
WT,20,-1037.9746835443038,1.9764129492931046,0.049291557087038966,9405
WT,21,-987.3417721518988,1.9717186621973293,0.049256297184067065,9405
WT,22,-936.7088607594937,1.969318462285851,0.04820871686729802,9405
WT,23,-886.0759493670887,1.9590227347377953,0.046536642738629265,9405
WT,24,-835.4430379746836,1.958976229267027,0.04667650512993128,9405
WT,25,-784.8101265822784,1.9656241726347685,0.04637445620009017,9405
WT,26,-734.1772151898733,1.9714193667387012,0.047186904240884016,9405
WT,27,-683.5443037974683,2.011687495633635,0.050801978636926294,9405
WT,28,-632.9113924050632,2.0455365772470033,0.053398214574739575,9405
WT,29,-582.2784810126582,2.07240928345565,0.054096988342362456,9405
WT,30,-531.6455696202531,2.0891524196221534,0.053925405210729124,9405
WT,31,-481.0126582278481,2.0993552667944044,0.054785209547601875,9405
WT,32,-430.37974683544303,2.1174070124293523,0.057587571634523424,9405
WT,33,-379.746835443038,2.131093769852403,0.060471072385474486,9405
WT,34,-329.11392405063293,2.1535374440977573,0.06372072768182432,9405
WT,35,-278.4810126582279,2.1939917923400736,0.06953190231186486,9405
WT,36,-227.84810126582283,2.2222665900773486,0.07408799455583481,9405
WT,37,-177.21518987341778,2.2437146571767617,0.07681873116188742,9405
WT,38,-126.58227848101274,2.2609272425025138,0.07772797725491097,9405
WT,39,-75.94936708860769,2.2484238762080504,0.07368362984332039,9405
WT,40,-25.316455696202638,2.219347829275547,0.06567895617602978,9405
WT,41,25.31645569620241,2.1983132432081827,0.05942635372084979,9405
WT,42,75.94936708860769,2.180580708899388,0.05448757515065782,9405
WT,43,126.58227848101251,2.159015807500988,0.05148451762176856,9405
WT,44,177.21518987341778,2.154831578018488,0.05097300661633258,9405
WT,45,227.8481012658226,2.160687697878052,0.05348375699177256,9405
WT,46,278.4810126582279,2.1567215341500585,0.056001524060906194,9405
WT,47,329.1139240506327,2.1647172707501263,0.06014116064988376,9405
WT,48,379.746835443038,2.174551812772967,0.06222531038464061,9405
WT,49,430.37974683544326,2.1692053766709236,0.060478550204970685,9405
WT,50,481.0126582278481,2.1471596574624363,0.059092043115979494,9405
WT,51,531.6455696202534,2.14331354765096,0.061378404897524,9405
WT,52,582.2784810126582,2.147503266626501,0.06448452452469096,9405
WT,53,632.9113924050635,2.152414745270591,0.06639959276403692,9405
WT,54,683.5443037974683,2.1480941105042803,0.0655786699910364,9405
WT,55,734.1772151898736,2.1517598079673683,0.0663639773762681,9405
WT,56,784.8101265822784,2.1633355335742483,0.06833683531969302,9405
WT,57,835.4430379746836,2.168823363688388,0.0699096036365468,9405
WT,58,886.0759493670885,2.1484957399174487,0.06869700169463157,9405
WT,59,936.7088607594937,2.123778480851329,0.06587673143519338,9405
WT,60,987.3417721518986,2.104356075787361,0.06335893023286862,9405
WT,61,1037.9746835443038,2.081861354738625,0.05928945501425971,9405
WT,62,1088.6075949367087,2.068302083264032,0.05700350357646042,9405
WT,63,1139.240506329114,2.0507100285064768,0.05473377994860577,9405
WT,64,1189.8734177215188,2.0398062330463884,0.05260672567887184,9405
WT,65,1240.506329113924,2.0234146504170987,0.050871822739739,9405
WT,66,1291.1392405063293,1.9961678163023686,0.04770077963533198,9405
WT,67,1341.7721518987341,1.983314057419764,0.045257040168935184,9405
WT,68,1392.4050632911394,1.9892765156331627,0.04596676354473435,9405
WT,69,1443.0379746835442,1.9866841605158865,0.04654496135952266,9405
WT,70,1493.6708860759495,1.9858428837970017,0.0468652382533569,9405
WT,71,1544.3037974683543,1.983285101048045,0.04728838014309422,9405
WT,72,1594.9367088607596,1.9913481015580197,0.04775261672504797,9405
WT,73,1645.5696202531644,2.001052177075389,0.04806263461388131,9405
WT,74,1696.2025316455697,1.9939853795456557,0.047849302632136825,9405
WT,75,1746.8354430379745,1.996136054552062,0.048030492912412785,9405
WT,76,1797.4683544303798,1.996187765299904,0.04733004946970239,9405
WT,77,1848.1012658227846,1.9946565339338418,0.04654569197206034,9405
WT,78,1898.73417721519,1.9899532358263445,0.047673070822937015,9405
WT,79,1949.3670886075947,2.009320256616535,0.05312382055670024,9405
WT,80,2000,2.027284303961457,0.05772822696940237,9405
DHX36KO,1,-2000,3.102924241859507,0.07990092435737396,9405
DHX36KO,2,-1949.367088607595,3.1371409625451894,0.0799448953997821,9405
DHX36KO,3,-1898.73417721519,3.1485585730365098,0.07761678143583871,9405
DHX36KO,4,-1848.1012658227849,3.1705108029802553,0.07543066656859235,9405
DHX36KO,5,-1797.4683544303798,3.188314288000217,0.07481660182021634,9405
DHX36KO,6,-1746.8354430379748,3.2125897674611785,0.07548800046919908,9405
DHX36KO,7,-1696.2025316455697,3.2205688809914745,0.07664121493713676,9405
DHX36KO,8,-1645.5696202531644,3.195504529093472,0.07643813163160974,9405
DHX36KO,9,-1594.9367088607596,3.1721365158585035,0.07535200692080588,9405
DHX36KO,10,-1544.3037974683543,3.158145159058196,0.07463304466541347,9405
DHX36KO,11,-1493.6708860759495,3.155172753526407,0.07491081919600245,9405
DHX36KO,12,-1443.0379746835442,3.15199157596907,0.07571573319324869,9405
DHX36KO,13,-1392.4050632911392,3.171537037527375,0.07668293476859162,9405
DHX36KO,14,-1341.7721518987341,3.1714754088280004,0.0775156574463484,9405
DHX36KO,15,-1291.139240506329,3.1860230157212737,0.0784707320179817,9405
DHX36KO,16,-1240.506329113924,3.178034956476623,0.07799559891401053,9405
DHX36KO,17,-1189.873417721519,3.177124805606358,0.07729116625038099,9405
DHX36KO,18,-1139.240506329114,3.1686611183531745,0.0765619457771003,9405
DHX36KO,19,-1088.607594936709,3.140785602319789,0.07483432592187897,9405
DHX36KO,20,-1037.9746835443038,3.1057948596152736,0.07340315321354125,9405
DHX36KO,21,-987.3417721518988,3.0915407340006653,0.07295023039816795,9405
DHX36KO,22,-936.7088607594937,3.0861658605530815,0.071480106272737,9405
DHX36KO,23,-886.0759493670887,3.0809760414710614,0.07009297318499787,9405
DHX36KO,24,-835.4430379746836,3.0968206384756356,0.06955273649803877,9405
DHX36KO,25,-784.8101265822784,3.11902867691971,0.06983237862712734,9405
DHX36KO,26,-734.1772151898733,3.147842904208852,0.07147317322625468,9405
DHX36KO,27,-683.5443037974683,3.1907537843210627,0.07536027749374133,9405
DHX36KO,28,-632.9113924050632,3.2258127312616756,0.07810904938909936,9405
DHX36KO,29,-582.2784810126582,3.2491620958472462,0.07773929479910956,9405
DHX36KO,30,-531.6455696202531,3.2636569802241153,0.07784352057601206,9405
DHX36KO,31,-481.0126582278481,3.278810070962328,0.07992508749535664,9405
DHX36KO,32,-430.37974683544303,3.3130402564280343,0.08339826592854095,9405
DHX36KO,33,-379.746835443038,3.3519265982746784,0.08587535025586301,9405
DHX36KO,34,-329.11392405063293,3.40233149464225,0.08979582591245441,9405
DHX36KO,35,-278.4810126582279,3.4599499528523974,0.09620947810508133,9405
DHX36KO,36,-227.84810126582283,3.494260330620516,0.10118298504504934,9405
DHX36KO,37,-177.21518987341778,3.5148548196566742,0.10424200438226748,9405
DHX36KO,38,-126.58227848101274,3.5447997183829676,0.10683913796609558,9405
DHX36KO,39,-75.94936708860769,3.538500697085311,0.10306354207176593,9405
DHX36KO,40,-25.316455696202638,3.483379037513138,0.09478383312232927,9405
DHX36KO,41,25.31645569620241,3.427740505851617,0.08702527823214747,9405
DHX36KO,42,75.94936708860769,3.3924217947302133,0.08146018496906868,9405
DHX36KO,43,126.58227848101251,3.367279464919994,0.07797379355025993,9405
DHX36KO,44,177.21518987341778,3.3470897757498452,0.0772663827355771,9405
DHX36KO,45,227.8481012658226,3.355915308680759,0.08069955190130577,9405
DHX36KO,46,278.4810126582279,3.3708949319491146,0.08370484696122088,9405
DHX36KO,47,329.1139240506327,3.4240140093344005,0.0890139181846354,9405
DHX36KO,48,379.746835443038,3.4616004647973386,0.09168741896845292,9405
DHX36KO,49,430.37974683544326,3.4315646638987602,0.08868937206925086,9405
DHX36KO,50,481.0126582278481,3.3900477533289384,0.0852005299248256,9405
DHX36KO,51,531.6455696202534,3.371131841871389,0.08594057429258135,9405
DHX36KO,52,582.2784810126582,3.373869867200703,0.0885768253817035,9405
DHX36KO,53,632.9113924050635,3.382211454871885,0.09148524578951116,9405
DHX36KO,54,683.5443037974683,3.3697161332914187,0.09194086300728001,9405
DHX36KO,55,734.1772151898736,3.387085874212563,0.09339687926408245,9405
DHX36KO,56,784.8101265822784,3.3957496410388237,0.09650420095767079,9405
DHX36KO,57,835.4430379746836,3.3996443105477048,0.09924175132422841,9405
DHX36KO,58,886.0759493670885,3.372944766428596,0.0992922548609427,9405
DHX36KO,59,936.7088607594937,3.353320592882938,0.0967687471309086,9405
DHX36KO,60,987.3417721518986,3.322742098525521,0.09286629155377152,9405
DHX36KO,61,1037.9746835443038,3.2907065245968807,0.0879216119903597,9405
DHX36KO,62,1088.6075949367087,3.2665727647429694,0.08408704770377813,9405
DHX36KO,63,1139.240506329114,3.232260192909211,0.07968110848000061,9405
DHX36KO,64,1189.8734177215188,3.2089939011841557,0.07705313412144403,9405
DHX36KO,65,1240.506329113924,3.20190220877664,0.07553329465848704,9405
DHX36KO,66,1291.1392405063293,3.1749127135703117,0.0720623944285584,9405
DHX36KO,67,1341.7721518987341,3.1758775551678395,0.06904833383433752,9405
DHX36KO,68,1392.4050632911394,3.1762761282059224,0.06941227526991622,9405
DHX36KO,69,1443.0379746835442,3.148091638579235,0.06917531754234577,9405
DHX36KO,70,1493.6708860759495,3.1429299487210076,0.06980556432718243,9405
DHX36KO,71,1544.3037974683543,3.149947604991597,0.0710198641070496,9405
DHX36KO,72,1594.9367088607596,3.176053836721687,0.072839474582942,9405
DHX36KO,73,1645.5696202531644,3.184338169207145,0.07355882683360472,9405
DHX36KO,74,1696.2025316455697,3.16444424603473,0.07280084490296705,9405
DHX36KO,75,1746.8354430379745,3.150148769127721,0.07238908257144942,9405
DHX36KO,76,1797.4683544303798,3.136687206720576,0.07225418296703938,9405
DHX36KO,77,1848.1012658227846,3.142778200818008,0.0727755254073343,9405
DHX36KO,78,1898.73417721519,3.162418965140264,0.0748947142763517,9405
DHX36KO,79,1949.3670886075947,3.174792225578091,0.07853449032996883,9405
DHX36KO,80,2000,3.192271615178229,0.0811174576031849,9405
FANCJKO,1,-2000,2.3904396941504817,0.06285286309254509,9405
FANCJKO,2,-1949.367088607595,2.3932741447091503,0.06208137046784412,9405
FANCJKO,3,-1898.73417721519,2.3839043804525115,0.05854399098890882,9405
FANCJKO,4,-1848.1012658227849,2.378728771033928,0.05664866727755564,9405
FANCJKO,5,-1797.4683544303798,2.3788550957780434,0.05615289830361128,9405
FANCJKO,6,-1746.8354430379748,2.3840883736742824,0.05558993458369625,9405
FANCJKO,7,-1696.2025316455697,2.3903764265287166,0.055804315029061795,9405
FANCJKO,8,-1645.5696202531644,2.3835199298516874,0.05615327008105282,9405
FANCJKO,9,-1594.9367088607596,2.3885689386486244,0.05684403217777278,9405
FANCJKO,10,-1544.3037974683543,2.4083740630162356,0.057041318894573305,9405
FANCJKO,11,-1493.6708860759495,2.409910675735513,0.05786485724696594,9405
FANCJKO,12,-1443.0379746835442,2.400925230478849,0.05963490286614208,9405
FANCJKO,13,-1392.4050632911392,2.40620700023705,0.060174639168072315,9405
FANCJKO,14,-1341.7721518987341,2.422742843717642,0.060190349361104484,9405
FANCJKO,15,-1291.139240506329,2.441252994924022,0.06017188197038515,9405
FANCJKO,16,-1240.506329113924,2.434996011995333,0.05917090125768041,9405
FANCJKO,17,-1189.873417721519,2.425098702762382,0.05766423194309634,9405
FANCJKO,18,-1139.240506329114,2.399006164292518,0.05660837326598701,9405
FANCJKO,19,-1088.607594936709,2.377174831986508,0.05598956011040657,9405
FANCJKO,20,-1037.9746835443038,2.36420156085517,0.056634394946051395,9405
FANCJKO,21,-987.3417721518988,2.3563277043840345,0.05637703228039761,9405
FANCJKO,22,-936.7088607594937,2.3507434829350933,0.05500677788437819,9405
FANCJKO,23,-886.0759493670887,2.3571294839015122,0.053362781497880936,9405
FANCJKO,24,-835.4430379746836,2.3577397499757695,0.05306963012750858,9405
FANCJKO,25,-784.8101265822784,2.363415510288497,0.05358736478911795,9405
FANCJKO,26,-734.1772151898733,2.392477177769156,0.05521755084243595,9405
FANCJKO,27,-683.5443037974683,2.4309463981804695,0.05842025282049362,9405
FANCJKO,28,-632.9113924050632,2.4748427633721386,0.06076908182424845,9405
FANCJKO,29,-582.2784810126582,2.499027801688294,0.061384360675525086,9405
FANCJKO,30,-531.6455696202531,2.503186786593827,0.06138208024467764,9405
FANCJKO,31,-481.0126582278481,2.5008152000815387,0.06102557427199793,9405
FANCJKO,32,-430.37974683544303,2.52347736720012,0.06345718791205182,9405
FANCJKO,33,-379.746835443038,2.550709824878899,0.06598555106190633,9405
FANCJKO,34,-329.11392405063293,2.5985998960011782,0.07108555727777664,9405
FANCJKO,35,-278.4810126582279,2.6363821349629495,0.0767191265338889,9405
FANCJKO,36,-227.84810126582283,2.659579025004085,0.08196721653292674,9405
FANCJKO,37,-177.21518987341778,2.6871798466091295,0.08473195163999822,9405
FANCJKO,38,-126.58227848101274,2.725452584218957,0.08827031854453052,9405
FANCJKO,39,-75.94936708860769,2.7089189678952894,0.08462127675837106,9405
FANCJKO,40,-25.316455696202638,2.664662873887862,0.0764537259282587,9405
FANCJKO,41,25.31645569620241,2.6335635482143305,0.0693868046868,9405
FANCJKO,42,75.94936708860769,2.6052671713782027,0.06348174156084818,9405
FANCJKO,43,126.58227848101251,2.5794592895779065,0.05957688423026713,9405
FANCJKO,44,177.21518987341778,2.5764376021231405,0.058889536835313026,9405
FANCJKO,45,227.8481012658226,2.5833212851436316,0.062186230577446995,9405
FANCJKO,46,278.4810126582279,2.593721510759502,0.0641071574870296,9405
FANCJKO,47,329.1139240506327,2.6023224854582603,0.06769785652787143,9405
FANCJKO,48,379.746835443038,2.6189366339392564,0.069788647678454,9405
FANCJKO,49,430.37974683544326,2.6165457454205288,0.06779055466273451,9405
FANCJKO,50,481.0126582278481,2.5907261839288216,0.06673917279218808,9405
FANCJKO,51,531.6455696202534,2.571247195808305,0.06797867267623879,9405
FANCJKO,52,582.2784810126582,2.557819686495049,0.07034565685828637,9405
FANCJKO,53,632.9113924050635,2.5657307289346556,0.07404673681749692,9405
FANCJKO,54,683.5443037974683,2.579322766965216,0.07502834972226127,9405
FANCJKO,55,734.1772151898736,2.574133577325663,0.07549027966677349,9405
FANCJKO,56,784.8101265822784,2.5810152717399677,0.07819349499699013,9405
FANCJKO,57,835.4430379746836,2.5671048455949954,0.0797027079434484,9405
FANCJKO,58,886.0759493670885,2.550319203578416,0.07791240242484682,9405
FANCJKO,59,936.7088607594937,2.539674102326642,0.07484904397672364,9405
FANCJKO,60,987.3417721518986,2.523646534319976,0.07190020486111492,9405
FANCJKO,61,1037.9746835443038,2.4860822467147474,0.0675757206541562,9405
FANCJKO,62,1088.6075949367087,2.450415305622115,0.06410216056064746,9405
FANCJKO,63,1139.240506329114,2.435220180873047,0.061585662059933786,9405
FANCJKO,64,1189.8734177215188,2.418606511421456,0.0590697671923452,9405
FANCJKO,65,1240.506329113924,2.419664417025713,0.05761767747955215,9405
FANCJKO,66,1291.1392405063293,2.4183329407512733,0.05538716137988239,9405
FANCJKO,67,1341.7721518987341,2.4086906716266956,0.053079553800973685,9405
FANCJKO,68,1392.4050632911394,2.411219331776457,0.05338160050313473,9405
FANCJKO,69,1443.0379746835442,2.4132927717277926,0.05357684667989119,9405
FANCJKO,70,1493.6708860759495,2.4085701730662503,0.05384380022897696,9405
FANCJKO,71,1544.3037974683543,2.4039870692704737,0.05393489031484801,9405
FANCJKO,72,1594.9367088607596,2.4153685288705415,0.054552020616172876,9405
FANCJKO,73,1645.5696202531644,2.4131067480000765,0.05544274515172855,9405
FANCJKO,74,1696.2025316455697,2.414628470200116,0.0553828033901195,9405
FANCJKO,75,1746.8354430379745,2.409204910717463,0.05533591292597722,9405
FANCJKO,76,1797.4683544303798,2.4082128995636887,0.05545926138035483,9405
FANCJKO,77,1848.1012658227846,2.418376042308818,0.05511830889861343,9405
FANCJKO,78,1898.73417721519,2.413217053538278,0.05621112634465386,9405
FANCJKO,79,1949.3670886075947,2.4266393623497655,0.061089765711198916,9405
FANCJKO,80,2000,2.4154424339600284,0.06366054740764301,9405
dKO,1,-2000,3.2877881332019943,0.08498927735317867,9405
dKO,2,-1949.367088607595,3.2825243674687776,0.08383941306624675,9405
dKO,3,-1898.73417721519,3.265738650222541,0.08124719610093789,9405
dKO,4,-1848.1012658227849,3.258978147679121,0.08056531450589545,9405
dKO,5,-1797.4683544303798,3.2624124744154313,0.07990593734754607,9405
dKO,6,-1746.8354430379748,3.268624033462275,0.07974453868411828,9405
dKO,7,-1696.2025316455697,3.2915904044817497,0.0801453968543766,9405
dKO,8,-1645.5696202531644,3.3069817089489955,0.08111511724697039,9405
dKO,9,-1594.9367088607596,3.315543067879079,0.08135020779199921,9405
dKO,10,-1544.3037974683543,3.2993128872305832,0.08079454421419897,9405
dKO,11,-1493.6708860759495,3.2770552134856303,0.0810182731138803,9405
dKO,12,-1443.0379746835442,3.270251870461253,0.08164351306088363,9405
dKO,13,-1392.4050632911392,3.2910862772309257,0.0829757282583572,9405
dKO,14,-1341.7721518987341,3.2940730582504707,0.08296081199401723,9405
dKO,15,-1291.139240506329,3.305572950665814,0.08376366596360421,9405
dKO,16,-1240.506329113924,3.3159872640551127,0.08449654950622916,9405
dKO,17,-1189.873417721519,3.3235590824316668,0.08372382898813184,9405
dKO,18,-1139.240506329114,3.2957261961114472,0.08199306490593362,9405
dKO,19,-1088.607594936709,3.2816784415581752,0.08052776913355993,9405
dKO,20,-1037.9746835443038,3.257579618423388,0.08021323913891532,9405
dKO,21,-987.3417721518988,3.2502470024886754,0.07962541027276938,9405
dKO,22,-936.7088607594937,3.2355344811933247,0.07832477588536359,9405
dKO,23,-886.0759493670887,3.211467539312975,0.07601265388708801,9405
dKO,24,-835.4430379746836,3.2141670275790584,0.07577971800275937,9405
dKO,25,-784.8101265822784,3.244032122103776,0.07612410878472772,9405
dKO,26,-734.1772151898733,3.2855165856036836,0.07675342789777925,9405
dKO,27,-683.5443037974683,3.339719055614163,0.08001381730436506,9405
dKO,28,-632.9113924050632,3.3877214824299773,0.08282377104645408,9405
dKO,29,-582.2784810126582,3.402612361627238,0.08315503489415224,9405
dKO,30,-531.6455696202531,3.3998388101457895,0.08317094314028738,9405
dKO,31,-481.0126582278481,3.4222677046934646,0.08486544462591009,9405
dKO,32,-430.37974683544303,3.453442117005928,0.08797336274057563,9405
dKO,33,-379.746835443038,3.4667562542771027,0.09072437760480254,9405
dKO,34,-329.11392405063293,3.5109665601027835,0.0956009009556902,9405
dKO,35,-278.4810126582279,3.566433275909497,0.10261504715941391,9405
dKO,36,-227.84810126582283,3.6023397557213825,0.10827006192169003,9405
dKO,37,-177.21518987341778,3.617287041515764,0.11195243281590349,9405
dKO,38,-126.58227848101274,3.6559678421933866,0.11551116935092537,9405
dKO,39,-75.94936708860769,3.6582048877364386,0.1112566072551254,9405
dKO,40,-25.316455696202638,3.6199535147507156,0.1020971613422403,9405
dKO,41,25.31645569620241,3.587762754951153,0.09417628037730667,9405
dKO,42,75.94936708860769,3.5499084421953935,0.08761415070827387,9405
dKO,43,126.58227848101251,3.5223363192422124,0.08398159703505768,9405
dKO,44,177.21518987341778,3.5081441584822093,0.0843216770853425,9405
dKO,45,227.8481012658226,3.512325662273242,0.08685388853928479,9405
dKO,46,278.4810126582279,3.5435362797044383,0.09055614780575993,9405
dKO,47,329.1139240506327,3.577750792269056,0.0959892371394187,9405
dKO,48,379.746835443038,3.584751601776984,0.09761366945478221,9405
dKO,49,430.37974683544326,3.572101266862112,0.09478957489051049,9405
dKO,50,481.0126582278481,3.530754785354659,0.09140884941624365,9405
dKO,51,531.6455696202534,3.5028107715006453,0.09169243202949529,9405
dKO,52,582.2784810126582,3.511285087950928,0.09466208685518931,9405
dKO,53,632.9113924050635,3.5352596221738923,0.09946184412234409,9405
dKO,54,683.5443037974683,3.5498864674093826,0.10016596239210851,9405
dKO,55,734.1772151898736,3.569169177311373,0.10120323948788638,9405
dKO,56,784.8101265822784,3.565314126990131,0.10338249112212959,9405
dKO,57,835.4430379746836,3.559708266421684,0.10588227078010279,9405
dKO,58,886.0759493670885,3.54654529958455,0.10592322419088444,9405
dKO,59,936.7088607594937,3.5417565336413266,0.10436744441561366,9405
dKO,60,987.3417721518986,3.515091909415993,0.101297122164264,9405
dKO,61,1037.9746835443038,3.463875393552104,0.09622812909643697,9405
dKO,62,1088.6075949367087,3.4250259771576865,0.0917108194382719,9405
dKO,63,1139.240506329114,3.393898882271487,0.08828636471034626,9405
dKO,64,1189.8734177215188,3.373646285783595,0.08560274236973048,9405
dKO,65,1240.506329113924,3.3596025549201554,0.08292323259682441,9405
dKO,66,1291.1392405063293,3.342328283596272,0.08005929227855921,9405
dKO,67,1341.7721518987341,3.3231469426255877,0.07748959859863752,9405
dKO,68,1392.4050632911394,3.3189228359085368,0.07691895507304994,9405
dKO,69,1443.0379746835442,3.289603301129553,0.07575042167507116,9405
dKO,70,1493.6708860759495,3.2928106552628575,0.07642283732680114,9405
dKO,71,1544.3037974683543,3.2976765640154753,0.07816174744006911,9405
dKO,72,1594.9367088607596,3.3171221257472845,0.08138853847071706,9405
dKO,73,1645.5696202531644,3.3261341663704327,0.082247846460672,9405
dKO,74,1696.2025316455697,3.311432974718943,0.08113449268807423,9405
dKO,75,1746.8354430379745,3.3025907565272563,0.07972291201621409,9405
dKO,76,1797.4683544303798,3.285043295894349,0.07915003383797307,9405
dKO,77,1848.1012658227846,3.2889654607970176,0.07880279532867153,9405
dKO,78,1898.73417721519,3.3112639368784893,0.08095275715823966,9405
dKO,79,1949.3670886075947,3.3237803766527647,0.08549024729798126,9405
dKO,80,2000,3.329591832056609,0.08769563374027188,9405
