n_motifs,n_peaks
0,16980
1,23020
2,22106
3,18820
4,14511
5,11051
6,8184
7,6420
8,4916
9,3771
10,3059
11,2433
12,2055
13,1687
14,1406
15,1124
16,965
17,810
18,671
19,525
20,478
21,386
22,348
23,299
24,226
25,190
26,187
27,165
28,138
29,125
30,97
31,83
32,70
33,56
34,56
35,37
36,51
37,38
38,39
39,30
40,27
41,21
42,21
43,18
44,13
45,9
46,12
47,6
48,10
49,9
50,7
51,7
52,5
53,7
54,5
55,7
56,6
57,1
58,1
59,4
60,3
61,3
62,1
63,2
64,3
65,3
66,1
67,3
68,3
70,2
72,1
73,1
74,2
81,1
83,1
88,1
89,1
97,1
104,1
