entrez,n_g4,bucket,symbol,baseMean
100009600,24,4+,Zglp1,93.5136296774252
100009609,0,0,Vmn2r65,NA
100009614,0,0,Krtap12-22,NA
100009664,6,4+,F630206G17Rik,NA
100012,0,0,Oog3,NA
100017,4,4+,Ldlrap1,171.90260361332216
100019,7,4+,Mdn1,1987.3959245060976
100033459,0,0,Ifi208,NA
100034251,1,1,Wfdc17,NA
100034361,9,4+,Mfap1b,158.39905041897907
100034363,0,0,Tmsb15b2,146.20297720504334
100034684,0,0,Cstdc5,NA
100034726,13,4+,Gm15772,NA
100034729,0,0,Gm15114,NA
100034748,22,4+,Prr35,NA
100036518,0,0,Vmn1r223,NA
100036520,0,0,Gata5os,NA
100036521,17,4+,Umad1,11.27960263598342
100036523,8,4+,Gm16982,NA
100036537,4,4+,Gm11149,NA
100036768,17,4+,Gm11696,5.5454168573202605
100037258,0,0,Dnajc3,158.7687413209721
100037260,5,4+,9430060I03Rik,2.346099475406747
100037262,0,0,Gm12359,0.9973036879547144
100037278,0,0,Niban3,NA
100037282,0,0,Rsph3b,14.390040130510185
100037283,26,4+,Rnaset2a,96.4247679078481
100037396,5,4+,D030047H15Rik,NA
100038347,0,0,Fam174b,6.549166561797604
100038353,5,4+,Gm10532,1.3740413828886742
100038356,18,4+,Gm15612,NA
100038358,3,3,Gm10857,NA
100038363,0,0,Mir223hg,NA
100038371,6,4+,Zfp389,NA
100038374,0,0,Gm10714,NA
100038378,7,4+,Gm10433,2.156523387331117
100038392,13,4+,Gm10785,NA
100038394,1,1,Gm10512,NA
100038417,0,0,Spink13,NA
100038439,15,4+,Gm10556,NA
100038453,0,0,Gm12522,NA
100038454,0,0,Platr8,0.8804261258955632
100038464,0,0,Gm15441,1.348084511631731
100038468,4,4+,Gm10684,NA
100038479,0,0,Gm10787,NA
100038489,0,0,Apela,796.5393791523247
100038493,0,0,Gm13582,NA
100038494,6,4+,Gm10782,NA
100038514,23,4+,Gm11837,19.3256409565244
100038516,0,0,Gm10640,NA
100038522,1,1,Dnmt3aos,NA
100038525,0,0,Gm10804,NA
100038526,0,0,Gm16008,NA
100038538,0,0,Ramacl,NA
100038545,0,0,Gm10745,NA
100038554,0,0,Gm15348,NA
100038555,0,0,Gm10578,NA
100038556,0,0,Gm10445,NA
100038560,0,0,Gm10687,1.5109433545808018
100038566,22,4+,Gm10658,2.9488498391199776
100038570,0,0,Prcd,10.94627671745097
100038571,0,0,Gm12863,NA
100038574,0,0,Gm10415,NA
100038575,0,0,Gm10635,NA
100038577,0,0,Gm10790,NA
100038584,4,4+,Gm14812,NA
100038591,0,0,F420014N23Rik,NA
100038595,0,0,Gm16287,NA
100038599,0,0,Gm10710,NA
100038600,0,0,Gm11529,NA
100038602,28,4+,Gm10865,NA
100038607,0,0,Gm10636,NA
100038608,3,3,Gm10389,NA
100038614,4,4+,Gm10791,NA
100038617,0,0,Gm10466,NA
100038623,0,0,Gm10823,NA
100038627,0,0,F630042J09Rik,1.5605227241688355
100038628,4,4+,Gm10768,NA
100038653,3,3,Gm10538,NA
100038654,0,0,Gm10371,NA
100038657,4,4+,Myocos,NA
100038659,0,0,Mirt2,NA
100038666,0,0,Gm12298,NA
100038689,0,0,Gm10421,NA
100038690,3,3,Gm10732,NA
100038693,0,0,Tmem51os1,1.830286928163008
100038699,0,0,Gm10754,NA
100038706,0,0,Gm10637,NA
100038712,0,0,Gm10516,NA
100038713,0,0,Gm10432,3.168350900414424
100038714,0,0,Gm15401,NA
100038725,19,4+,Cep85l,24.433559631361906
100038728,0,0,Gm10373,NA
100038732,0,0,Gm11681,NA
100038734,0,0,Gm10845,NA
100038743,0,0,Gm13629,NA
100038746,0,0,Gm1976,3.560514841661823
100038752,0,0,Gm10825,NA
100038847,0,0,Gm10406,2.8347196458444976
100038854,0,0,Cstdc6,NA
100038859,0,0,Or10h1b,NA
100038860,0,0,Or10h1,NA
100038862,0,0,Btnl1,0.9119878245430636
100038882,0,0,Isg15,2.3310760850220418
100038909,0,0,Pira12,NA
100038912,18,4+,Ceacam-ps1,NA
100038927,0,0,Defa30,NA
100038941,0,0,Vmn2r121,NA
100038947,0,0,Sirpb1c,NA
100038948,1,1,Mup9,NA
100038949,0,0,Gm1979,NA
100038977,0,0,Gm1993,NA
100038982,0,0,Gm1995,NA
100039008,0,0,Mup10,NA
100039027,2,2,Gm2011,NA
100039028,0,0,Mup11,NA
100039030,0,0,Gm2012,NA
100039042,0,0,Eif1ad3,NA
100039043,0,0,Gm10731,NA
100039045,0,0,Speer4a2,NA
100039054,0,0,Mup12,NA
100039055,0,0,Gm16404,NA
100039060,0,0,Gm2026,NA
100039062,0,0,Gm2027,NA
100039065,0,0,Gm2030,NA
100039087,0,0,Gm2042,NA
100039089,0,0,Mup13,NA
100039116,0,0,Mup14,NA
100039120,0,0,Gm14525,NA
100039123,0,0,Gm14295,3.0902075335697115
100039138,2,2,Gm2061,NA
100039139,2,2,Ccdc152,17.939127722803413
100039148,0,0,Gm12128,NA
100039150,0,0,Mup15,NA
100039176,0,0,Gm13580,6.771671366439377
100039177,0,0,Mup16,NA
100039186,6,4+,Gm2087,NA
100039206,0,0,Mup17,NA
100039222,2,2,Gm2109,NA
100039239,0,0,Ctxnd1,NA
100039240,0,0,Gm10058,NA
100039315,0,0,Pramel51,NA
100039319,0,0,H2ab1,NA
100039348,0,0,Gm2176,NA
100039436,0,0,Mageb16-ps1,NA
100039467,0,0,Gm10487,NA
100039495,3,3,Gm15706,29.59707246622061
100039596,10,4+,Tcf24,8.945386532521386
100039641,0,0,E330012B07Rik,NA
100039672,5,4+,Msmp,NA
100039684,14,4+,5031434O11Rik,2.829504047431835
100039691,9,4+,Lncenc1,2051.33071560037
100039706,0,0,Gm2381,22.361595096704384
100039707,0,0,Mthfsl,34.777296809619486
100039727,1,1,1700049E15Rik,NA
100039781,9,4+,Hrct1,NA
100039795,0,0,Ildr2,22.34959909567571
100039796,0,0,Tgtp2,NA
100039801,3,3,Cldn24,NA
100039805,0,0,D5Ertd605e,10.806329273062213
100039864,0,0,Snhg12,275.0818841772274
100039890,0,0,Gm15093,NA
100039911,2,2,Gm2491,NA
100039913,0,0,Rhox2b,NA
100039934,0,0,Gm15085,NA
100039948,7,4+,Rhox2c,NA
100039953,0,0,Gfy,1.8306607849054868
100039954,0,0,Gm2516,NA
100039957,5,4+,Gm2518,NA
100039968,1,1,Tmem35b,28.61128557267348
100040016,0,0,Rhox2e,NA
100040049,0,0,Smim38,NA
100040201,0,0,Krtap6-3,NA
100040208,0,0,Gm2663,NA
100040214,0,0,Krtap6-7,NA
100040233,0,0,Prss3l,NA
100040248,0,0,Krtap4-25,NA
100040268,0,0,Or13c7c,NA
100040276,0,0,Krtap4-22,NA
100040294,1,1,Cbln1os,NA
100040298,0,0,Gm15501,NA
100040299,16,4+,Krtap10-20,NA
100040322,20,4+,3830408C21Rik,3.0514738758103133
100040328,0,0,Gm2716,NA
100040339,3,3,Gm2721,NA
100040421,0,0,Gm2762,1.8654663094319024
100040462,0,0,Mndal,0.9711646324446612
100040482,0,0,Btbd35f2,NA
100040525,0,0,Tmem181c-ps,NA
100040533,0,0,Btbd35f5,NA
100040557,0,0,Gm12408,NA
100040563,0,0,Dynlt1c,1.3705718654699424
100040567,14,4+,Gm12409,NA
100040591,0,0,Kcnj13,NA
100040599,0,0,Potefam3a,NA
100040606,0,0,Btbd35f12,NA
100040608,0,0,Fancf,56.74218335229383
100040617,0,0,Wincr1,NA
100040671,0,0,Gm2897,NA
100040722,0,0,Btbd35f13,NA
100040724,0,0,Mirg,165.08921862192898
100040732,0,0,Btbd35f14,NA
100040736,6,4+,Foxd2os,2.088154888636834
100040766,0,0,Mroh2a,NA
100040769,0,0,Gm15506,NA
100040792,6,4+,Gm11627,71.16904496258034
100040843,0,0,Cyp4a32,NA
100040851,0,0,Gm9767,NA
100040852,0,0,Gm3002,NA
100040861,0,0,Gm13057,NA
100040867,0,0,Gm16405,NA
100040880,0,0,Gm3020,NA
100040882,0,0,1700017G19Rik,NA
100040937,0,0,Cldn34b1,NA
100040944,0,0,Gm3055,NA
100040970,0,0,Rpl14-ps1,NA
100040972,0,0,Tceal7,25.723393110816435
100040999,0,0,Gm3086,NA
100041062,0,0,Gm13286,NA
100041077,5,4+,Pramel61,NA
100041085,0,0,Mfsd4b3-ps,NA
100041096,0,0,Iqcf6,NA
100041099,13,4+,Gm3137,NA
100041108,4,4+,Gm3143,1.8520685869665512
100041151,0,0,Gm3636,NA
100041187,0,0,Or52e19,NA
100041230,0,0,H4c17,NA
100041231,0,0,Gm3219,NA
100041250,1,1,Krtap10-21,NA
100041253,0,0,Pramel60,NA
100041261,0,0,Krtap10-22,NA
100041273,0,0,Ndufb4c,NA
100041281,0,0,Krtap10-23,NA
100041286,1,1,Snhg15,75.98303706574367
100041294,0,0,Supt4b,NA
100041296,0,0,Pramel47,NA
100041306,0,0,Gm3264,NA
100041311,0,0,Gm11978,NA
100041339,0,0,Gm3279,NA
100041347,0,0,Ccdc201,NA
100041351,0,0,Krtap10-24,NA
100041352,0,0,Tcp10c,NA
100041375,0,0,Cyp3a41b,NA
100041379,0,0,Zfp980,260.83618647076753
100041412,0,0,Krtap2-22,NA
100041433,0,0,Zfp981,239.60684439079424
100041449,0,0,Cyp3a59,NA
100041479,0,0,Gm3363,NA
100041480,0,0,Myef2l,NA
100041488,0,0,Krtap2-21,NA
100041515,0,0,Gm3383,NA
100041530,0,0,Gm10409,NA
100041546,0,0,Ly6c2,1.6916809213159472
100041548,3,3,Gm3402,NA
100041554,0,0,Gm3404,NA
100041562,0,0,Gm14762,NA
100041566,0,0,Gm3409,NA
100041574,0,0,Ermardl2,NA
100041579,21,4+,Gm20878,NA
100041581,9,4+,Zkscan16,NA
100041585,9,4+,Amd2,23.64766274440531
100041586,5,4+,Dynlt2a3,NA
100041596,0,0,Gal3st2b,NA
100041605,0,0,Gm3428,NA
100041618,0,0,Gm3434,NA
100041621,0,0,Ermardl1,NA
100041639,5,4+,Dynlt2a2,NA
100041655,35,4+,Gm10863,NA
100041658,0,0,Mup7,NA
100041677,0,0,Zfp984,97.0721153041983
100041678,0,0,Gm3500,NA
100041687,0,0,Mup8,NA
100041688,0,0,Defa35,NA
100041694,0,0,Ppp1r36dn,NA
100041722,0,0,1700049E17Rik2,NA
100041724,0,0,Gm15217,NA
100041759,0,0,Defa41,NA
100041774,0,0,Gm10413,NA
100041787,0,0,Defa40,NA
100041805,0,0,Gm3519,NA
100041811,0,0,Defa27,NA
100041840,0,0,Gm10408,NA
100041874,0,0,Gm3558,NA
100041890,0,0,Defa32,NA
100041895,0,0,Defa37,NA
100041952,0,0,Defa34,NA
100041953,3,3,Sap18b,12.127493277261944
100041965,15,4+,Oaz1-ps,NA
100041979,0,0,Gm3604,25.203348644558748
100042049,0,0,Gm15421,NA
100042055,0,0,Gm10377,NA
100042056,0,0,9130019P16Rik,NA
100042065,0,0,Gm3646,NA
100042132,13,4+,Gm12371,NA
100042143,6,4+,Gm3693,NA
100042149,0,0,Gm3696,NA
100042150,0,0,Nrg2,1.723622997826949
100042165,0,0,Thoc2l,NA
100042166,0,0,Gm3704,NA
100042173,3,3,Rps15a-ps6,NA
100042194,0,0,Gm13446,NA
100042198,0,0,Gm3716,3.8019874916774854
100042254,0,0,Btbd35f4,NA
