set,n_peaks,mean_bp,total_Mbp
G4_BG4_WT,107276,909.2434468100973,97.54
Rloop_S96_WT,162050,713.5791422400494,115.6355
G4_BG4_DHX36KO,108602,937.8970921345832,101.8575
Rloop_S96_DHX36KO,155703,699.3089407397417,108.8845
G4_BG4_FANCJKO,105905,880.0859260658137,93.2055
Rloop_S96_FANCJKO,162266,721.13689867255,117.016
G4_BG4_dKO,114179,967.2487935609876,110.4395
Rloop_S96_dKO,156039,747.3420106511834,116.6145
G4_BG4_ERCCWT,109067,768.8851806687633,83.86
Rloop_S96_ERCCWT,121702,889.874447420749,108.2995
G4_BG4_ERCCKO,114980,805.4487736997738,92.6105
Rloop_S96_ERCCKO,106907,856.8943100077638,91.608
G4_BG4_union,147843,965.7136286466049,142.774
G4_BG4_ercc_union,150977,803.3773356206575,121.2915
Rloop_S96_union,337757,847.8477130007668,286.3665
Rloop_S96_ercc_union,152257,912.437523397939,138.925
