genotype,topology,bin,position,n_motifs,mean,sem
DHX36KO,antiparallel,1,-1975,91,16.65241988328118,2.4451581861286953
DHX36KO,antiparallel,2,-1925,72,14.846928623407635,1.6811626950547567
DHX36KO,antiparallel,3,-1875,71,21.695051480878828,3.270547271355879
DHX36KO,antiparallel,4,-1825,57,19.114012732379134,2.646042301140188
DHX36KO,antiparallel,5,-1775,78,18.245032174688024,1.9106596097756878
DHX36KO,antiparallel,6,-1725,76,17.664682094088043,2.135682600111494
DHX36KO,antiparallel,7,-1675,80,18.641092198526188,2.697041003979078
DHX36KO,antiparallel,8,-1625,67,18.027211646671233,2.1150142600791018
DHX36KO,antiparallel,9,-1575,74,18.473003396205797,2.087245621421789
DHX36KO,antiparallel,10,-1525,82,17.471427371703665,2.177579301719411
DHX36KO,antiparallel,11,-1475,73,18.40440429100301,2.038511322841332
DHX36KO,antiparallel,12,-1425,84,15.828192870824774,1.614970245299361
DHX36KO,antiparallel,13,-1375,74,16.07029043439844,2.028516191378722
DHX36KO,antiparallel,14,-1325,74,19.756785484520485,3.3094221568650335
DHX36KO,antiparallel,15,-1275,81,16.564325453561796,1.6533366359793102
DHX36KO,antiparallel,16,-1225,83,19.096806488200695,1.8233621478168685
DHX36KO,antiparallel,17,-1175,93,17.058406795012264,1.968552593587263
DHX36KO,antiparallel,18,-1125,78,16.41997806097104,1.774670307651753
DHX36KO,antiparallel,19,-1075,74,15.776598092458265,1.7194209974387793
DHX36KO,antiparallel,20,-1025,87,16.196671105165574,2.23177792477734
DHX36KO,antiparallel,21,-975,72,18.765125401920763,2.1863726115425908
DHX36KO,antiparallel,22,-925,86,15.812770181629714,2.3950177095615017
DHX36KO,antiparallel,23,-875,95,16.913883213652692,1.6543917776708676
DHX36KO,antiparallel,24,-825,74,14.58044307589141,1.2715174431140683
DHX36KO,antiparallel,25,-775,74,23.404439817661718,3.24223575042365
DHX36KO,antiparallel,26,-725,82,17.884191685604712,2.970025106018171
DHX36KO,antiparallel,27,-675,94,18.69174363247732,1.982585372176248
DHX36KO,antiparallel,28,-625,102,20.007874972309846,2.219119785394346
DHX36KO,antiparallel,29,-575,92,20.04460863908407,2.5887194503615865
DHX36KO,antiparallel,30,-525,88,21.33692883049428,2.3268117650063282
DHX36KO,antiparallel,31,-475,111,18.913031369229977,1.7887981127413393
DHX36KO,antiparallel,32,-425,79,26.035590958607287,4.064483715762958
DHX36KO,antiparallel,33,-375,109,19.454122104124895,1.9128215894301925
DHX36KO,antiparallel,34,-325,112,20.02937411107926,1.9719744818692193
DHX36KO,antiparallel,35,-275,99,28.255590807853007,3.2025626145722748
DHX36KO,antiparallel,36,-225,107,25.003783392986744,3.005225957501892
DHX36KO,antiparallel,37,-175,121,22.82340463718795,2.5540799376808363
DHX36KO,antiparallel,38,-125,123,23.303848282365625,2.385319730747098
DHX36KO,antiparallel,39,-75,137,22.016844686781788,2.073445690072483
DHX36KO,antiparallel,40,-25,136,26.063722046758823,3.437811692723052
DHX36KO,antiparallel,41,25,151,26.938900155642646,2.8015266053723775
DHX36KO,antiparallel,42,75,178,27.03609501657801,2.7694185053634
DHX36KO,antiparallel,43,125,176,27.162721723458507,2.7426317054421836
DHX36KO,antiparallel,44,175,193,22.687008838781235,2.1674664117924776
DHX36KO,antiparallel,45,225,196,22.08159366435628,1.826460033820956
DHX36KO,antiparallel,46,275,193,23.15659557689618,2.587665675575015
DHX36KO,antiparallel,47,325,179,22.40711355752511,1.7697487682760202
DHX36KO,antiparallel,48,375,140,20.5044883673944,1.5715325335960741
DHX36KO,antiparallel,49,425,153,22.981316264884928,2.475240910032925
DHX36KO,antiparallel,50,475,151,23.505994508616354,2.9491888569696694
DHX36KO,antiparallel,51,525,150,22.684867230405327,2.732178934969471
DHX36KO,antiparallel,52,575,115,21.49419776110395,2.285276489231894
DHX36KO,antiparallel,53,625,120,16.382540145206676,1.494382571590808
DHX36KO,antiparallel,54,675,127,20.112040825678793,2.3674936247072482
DHX36KO,antiparallel,55,725,113,18.068643040863765,2.020274340780673
DHX36KO,antiparallel,56,775,119,13.682354243411659,0.9945097856510782
DHX36KO,antiparallel,57,825,94,17.58168199640202,1.3871763648625068
DHX36KO,antiparallel,58,875,99,16.61013667739464,1.7666453670422428
DHX36KO,antiparallel,59,925,90,19.5105827314102,2.750073377730013
DHX36KO,antiparallel,60,975,91,15.970680312617812,1.4460194079315636
DHX36KO,antiparallel,61,1025,99,17.16476403397867,1.7911904267938408
DHX36KO,antiparallel,62,1075,83,16.66070924212486,1.8258994008588392
DHX36KO,antiparallel,63,1125,90,16.265719053458394,1.5946807267961263
DHX36KO,antiparallel,64,1175,87,20.670917603452434,2.960538007380315
DHX36KO,antiparallel,65,1225,91,16.214287982812014,1.4568045182231444
DHX36KO,antiparallel,66,1275,94,19.03542176204589,2.92555351238555
DHX36KO,antiparallel,67,1325,88,20.797757275819276,2.4881173310558773
DHX36KO,antiparallel,68,1375,103,15.986035210447627,1.8532486887699822
DHX36KO,antiparallel,69,1425,95,18.763698821424907,1.9602400364250667
DHX36KO,antiparallel,70,1475,96,18.64366904936109,2.1461872982231744
DHX36KO,antiparallel,71,1525,72,22.265272184703942,3.4531707551874256
DHX36KO,antiparallel,72,1575,95,15.957135871339657,1.5650805810755248
DHX36KO,antiparallel,73,1625,86,18.869145866689333,3.2680691319113273
DHX36KO,antiparallel,74,1675,79,19.242443979353272,3.6667824380565395
DHX36KO,antiparallel,75,1725,96,15.47932551174145,1.299747087531184
DHX36KO,antiparallel,76,1775,95,16.647840509951983,1.8555093153520819
DHX36KO,antiparallel,77,1825,81,17.88703987353767,2.2238292599105898
DHX36KO,antiparallel,78,1875,81,20.113995426551906,2.1767153612814742
DHX36KO,antiparallel,79,1925,85,15.78783352530162,1.3901240301673226
DHX36KO,antiparallel,80,1975,95,17.91944245584579,1.608181172458564
DHX36KO,hybrid,1,-1975,53,20.700169246185332,2.584521414507992
DHX36KO,hybrid,2,-1925,63,22.539161513656236,3.9155265898821314
DHX36KO,hybrid,3,-1875,66,17.153229760907394,1.9471571357149366
DHX36KO,hybrid,4,-1825,66,15.377917805163248,1.8369267702629508
DHX36KO,hybrid,5,-1775,60,22.1148957714875,2.648419313770613
DHX36KO,hybrid,6,-1725,70,20.625227144077417,3.240951447055799
DHX36KO,hybrid,7,-1675,66,17.212205693616216,2.1036907569209413
DHX36KO,hybrid,8,-1625,71,16.436665884180933,1.8920195142498184
DHX36KO,hybrid,9,-1575,63,20.033853744465137,2.590559441017016
DHX36KO,hybrid,10,-1525,69,18.57296432316379,2.2784271653749704
DHX36KO,hybrid,11,-1475,67,19.600079142933144,2.749573705867919
DHX36KO,hybrid,12,-1425,69,16.091887390633325,2.2391342895620663
DHX36KO,hybrid,13,-1375,74,21.19181267102004,2.865253861920797
DHX36KO,hybrid,14,-1325,68,15.9101728348892,1.8512320496834898
DHX36KO,hybrid,15,-1275,60,20.46969043000948,3.6823568131461255
DHX36KO,hybrid,16,-1225,72,15.18935897766786,1.1901875441716883
DHX36KO,hybrid,17,-1175,76,15.357715878788792,1.5886146696756132
DHX36KO,hybrid,18,-1125,62,14.382683964284665,1.6233084591399742
DHX36KO,hybrid,19,-1075,62,21.004416540340813,3.4376195437883275
DHX36KO,hybrid,20,-1025,57,17.511262235079336,1.864114508327714
DHX36KO,hybrid,21,-975,76,18.229134305948737,1.9579945041638036
DHX36KO,hybrid,22,-925,78,16.644689997572037,2.2672699483681105
DHX36KO,hybrid,23,-875,79,17.791265210451805,2.0830187986941304
DHX36KO,hybrid,24,-825,83,20.844984853726654,4.016984009862401
DHX36KO,hybrid,25,-775,93,20.851091897583935,2.5110232080012866
DHX36KO,hybrid,26,-725,63,20.335729409658686,3.0284380863134848
DHX36KO,hybrid,27,-675,74,15.688775211175924,1.3520817063340205
DHX36KO,hybrid,28,-625,83,17.720792326029894,2.7885288691893546
DHX36KO,hybrid,29,-575,87,16.54980689260713,1.3045875985586781
DHX36KO,hybrid,30,-525,97,19.16522771419771,1.916803464031499
DHX36KO,hybrid,31,-475,87,17.17982430460432,2.019643193681004
DHX36KO,hybrid,32,-425,100,20.420225235725912,2.418059561875194
DHX36KO,hybrid,33,-375,97,20.771531379468865,2.1341886825402283
DHX36KO,hybrid,34,-325,115,19.346245865811866,2.0128847602432676
DHX36KO,hybrid,35,-275,141,21.327396679030837,1.8079620729853316
DHX36KO,hybrid,36,-225,136,27.97447638695513,4.357315811619931
DHX36KO,hybrid,37,-175,134,27.9330542620723,3.7035835743946017
DHX36KO,hybrid,38,-125,190,24.065809811427872,2.2427418487373583
DHX36KO,hybrid,39,-75,203,26.41076442594841,2.4795293396934923
DHX36KO,hybrid,40,-25,243,31.63713454713446,3.1457405182473117
DHX36KO,hybrid,41,25,235,27.366773024681642,2.1907452453025558
DHX36KO,hybrid,42,75,240,28.53208386662868,2.2872944962754858
DHX36KO,hybrid,43,125,275,27.7995295231838,2.5370797391521185
DHX36KO,hybrid,44,175,246,25.822014222406228,2.3947108499599157
DHX36KO,hybrid,45,225,238,21.20588087722181,1.3978952311062987
DHX36KO,hybrid,46,275,231,22.172030218132303,1.683140721429298
DHX36KO,hybrid,47,325,201,30.063750035381975,2.954109930285544
DHX36KO,hybrid,48,375,208,20.69691444877243,1.347517685656176
DHX36KO,hybrid,49,425,203,21.04742265329696,2.076817708218882
DHX36KO,hybrid,50,475,164,23.51389894091822,2.380616954921663
DHX36KO,hybrid,51,525,168,17.123755298211876,1.2343331590845696
DHX36KO,hybrid,52,575,142,22.73255810488293,1.839236051973329
DHX36KO,hybrid,53,625,141,19.37827825945017,2.436912612171746
DHX36KO,hybrid,54,675,142,17.953248120246933,1.60276523564244
DHX36KO,hybrid,55,725,132,18.149936793774444,1.4382793838352639
DHX36KO,hybrid,56,775,134,16.37200096509164,1.6446714429546672
DHX36KO,hybrid,57,825,114,17.311367792153476,2.1022662784468813
DHX36KO,hybrid,58,875,118,17.686752000854767,1.5099975643668615
DHX36KO,hybrid,59,925,128,17.738479406960543,1.4374952199825677
DHX36KO,hybrid,60,975,86,17.20894631769522,2.1098795600816223
DHX36KO,hybrid,61,1025,110,16.716177843534695,1.3335839563163674
DHX36KO,hybrid,62,1075,95,20.406087726396738,2.2862325558427252
DHX36KO,hybrid,63,1125,81,16.70268080962724,1.450534807826028
DHX36KO,hybrid,64,1175,98,21.68461632129242,4.0353519623346745
DHX36KO,hybrid,65,1225,98,18.14893435468229,1.8923003848136297
DHX36KO,hybrid,66,1275,107,17.152556953897474,1.8975536617131796
DHX36KO,hybrid,67,1325,98,17.275119407784498,1.6984682369892536
DHX36KO,hybrid,68,1375,92,19.45371199414221,3.012084678862704
DHX36KO,hybrid,69,1425,96,15.804277512245395,1.2330565862054688
DHX36KO,hybrid,70,1475,90,22.466464927156085,3.5500535889204436
DHX36KO,hybrid,71,1525,89,22.36861394655934,3.225461634255543
DHX36KO,hybrid,72,1575,84,18.513598318902705,2.097228552553363
DHX36KO,hybrid,73,1625,71,24.63587394503954,3.115128111502442
DHX36KO,hybrid,74,1675,101,17.987815920297354,1.6918121968280804
DHX36KO,hybrid,75,1725,89,18.84421113201457,2.3099310312729346
DHX36KO,hybrid,76,1775,81,22.566103569740253,3.278925804209416
DHX36KO,hybrid,77,1825,86,22.233623147226886,4.086495953535183
DHX36KO,hybrid,78,1875,90,19.04388758285019,3.2246954063100364
DHX36KO,hybrid,79,1925,86,16.096276285093975,1.694085921457313
DHX36KO,hybrid,80,1975,84,20.294659905495127,3.520598833342612
DHX36KO,parallel,1,-1975,377,18.512642478179995,1.2116592129935801
DHX36KO,parallel,2,-1925,395,17.068479335254274,0.8876543206643931
DHX36KO,parallel,3,-1875,380,16.909872252473743,0.9238148306691779
DHX36KO,parallel,4,-1825,423,16.48802803764336,0.7681382162878443
DHX36KO,parallel,5,-1775,398,18.8744220822719,1.2772909645819974
DHX36KO,parallel,6,-1725,443,18.55763228012998,1.0377544599225514
DHX36KO,parallel,7,-1675,409,16.351876413317015,0.7898561189787093
DHX36KO,parallel,8,-1625,455,16.710045893074586,0.8336488451450987
DHX36KO,parallel,9,-1575,412,18.092442868251428,1.067343388388765
DHX36KO,parallel,10,-1525,460,18.482943560214313,0.9834203321735437
DHX36KO,parallel,11,-1475,414,17.66231679420906,0.9428867435109821
DHX36KO,parallel,12,-1425,433,17.969896261378633,0.9829729463988541
DHX36KO,parallel,13,-1375,450,17.537900471881496,0.8346003098437411
DHX36KO,parallel,14,-1325,419,19.026781683660644,0.9752672883984451
DHX36KO,parallel,15,-1275,442,17.792230432735735,0.8801591306372554
DHX36KO,parallel,16,-1225,433,16.94017831712395,0.7177468599728574
DHX36KO,parallel,17,-1175,406,16.805304819620055,0.9438875570466235
DHX36KO,parallel,18,-1125,432,17.170804759497692,0.9141234959504299
DHX36KO,parallel,19,-1075,455,17.15206579559669,1.1476077875259267
DHX36KO,parallel,20,-1025,487,16.817402309013865,0.885091003413833
DHX36KO,parallel,21,-975,466,17.339440212206807,1.0262336277449802
DHX36KO,parallel,22,-925,452,16.8912121025512,0.8948570628394747
DHX36KO,parallel,23,-875,536,17.411004665121002,1.0244228776274436
DHX36KO,parallel,24,-825,491,17.343575672592905,0.9019577516631757
DHX36KO,parallel,25,-775,534,17.383011811216836,0.9616343914051989
DHX36KO,parallel,26,-725,519,18.10695625330485,0.9652535096863276
DHX36KO,parallel,27,-675,541,18.73882341905944,0.9165556534727407
DHX36KO,parallel,28,-625,519,18.177515935794524,0.933052810290057
DHX36KO,parallel,29,-575,572,17.75103711680646,0.917487096910479
DHX36KO,parallel,30,-525,624,17.467554293363804,0.7135931612778689
DHX36KO,parallel,31,-475,611,18.763950750583653,0.8268789168597546
DHX36KO,parallel,32,-425,654,17.757474981346657,0.6899311678826023
DHX36KO,parallel,33,-375,687,19.97439426485867,0.8969608761819382
DHX36KO,parallel,34,-325,795,20.31781100135314,0.8393639993095252
DHX36KO,parallel,35,-275,799,23.753777195763085,1.1734707219034628
DHX36KO,parallel,36,-225,837,24.787360296312766,1.2773642089805943
DHX36KO,parallel,37,-175,943,25.70538339428491,1.4175994684159148
DHX36KO,parallel,38,-125,1086,27.745108878444604,1.392561362408702
DHX36KO,parallel,39,-75,1295,28.985611436743447,1.2407487918534528
DHX36KO,parallel,40,-25,1520,28.220718271174288,1.0017762625495492
DHX36KO,parallel,41,25,1385,28.28672129589537,1.0536920633091125
DHX36KO,parallel,42,75,1428,26.344339001077458,0.9509523449883467
DHX36KO,parallel,43,125,1327,26.966837266986865,0.9972661968823238
DHX36KO,parallel,44,175,1303,24.157656469539315,0.816883806859538
DHX36KO,parallel,45,225,1383,24.07077183052309,0.7694012295625099
DHX36KO,parallel,46,275,1279,23.436550059468654,0.8220173681167479
DHX36KO,parallel,47,325,1201,21.610255838474227,0.6857293955009471
DHX36KO,parallel,48,375,1145,21.34271891979524,0.7383656486451753
DHX36KO,parallel,49,425,1031,20.19619674806261,0.6866822306066963
DHX36KO,parallel,50,475,1040,20.191407098310048,0.6564977393559678
DHX36KO,parallel,51,525,986,19.20545363100014,0.737883222491864
DHX36KO,parallel,52,575,937,18.607166169492363,0.7380498617713792
DHX36KO,parallel,53,625,890,19.30898869985536,0.780516415416171
DHX36KO,parallel,54,675,823,19.276345962341594,0.8775187294142951
DHX36KO,parallel,55,725,766,17.955713418067766,0.7559997269890046
DHX36KO,parallel,56,775,737,18.462114583775055,0.9576043700582072
DHX36KO,parallel,57,825,743,16.910313603158443,0.6078717782237326
DHX36KO,parallel,58,875,681,17.708847040140064,1.0038356235685495
DHX36KO,parallel,59,925,661,17.08743093419577,0.8009129171040216
DHX36KO,parallel,60,975,623,18.10981101012625,0.7724615192746691
DHX36KO,parallel,61,1025,620,17.700454602182273,0.8838867965948853
DHX36KO,parallel,62,1075,631,18.566577277018975,1.1102567077332846
DHX36KO,parallel,63,1125,609,18.0109264659149,0.7999315790578916
DHX36KO,parallel,64,1175,631,17.17145718705542,0.8731116919972164
DHX36KO,parallel,65,1225,597,18.84212030000679,1.0663001324544106
DHX36KO,parallel,66,1275,564,19.894340652325265,1.1635058845226518
DHX36KO,parallel,67,1325,562,19.38149913529049,0.9654564355389013
DHX36KO,parallel,68,1375,589,20.647134917487772,1.2286712780340505
DHX36KO,parallel,69,1425,574,20.80201319850124,1.1803362311569712
DHX36KO,parallel,70,1475,528,17.310270295462914,0.8065023078632353
DHX36KO,parallel,71,1525,560,18.131861101380036,0.9707545779235797
DHX36KO,parallel,72,1575,483,17.998063002920066,1.0904948046701122
DHX36KO,parallel,73,1625,557,17.945557879046362,0.9908670921936832
DHX36KO,parallel,74,1675,499,17.073465559388023,0.8069232209912244
DHX36KO,parallel,75,1725,503,18.539167160612653,1.0784741739307553
DHX36KO,parallel,76,1775,514,16.1164948391631,0.7426336096784439
DHX36KO,parallel,77,1825,552,18.164160618328108,0.919277015025476
DHX36KO,parallel,78,1875,495,18.92378111026921,1.1133413737648123
DHX36KO,parallel,79,1925,458,17.19955626482737,0.8783843773711478
DHX36KO,parallel,80,1975,488,19.653592396681976,1.2575590291243013
FANCJKO,antiparallel,1,-1975,91,12.168770959719103,2.066562770438898
FANCJKO,antiparallel,2,-1925,72,11.22153496782611,1.5161285512484708
FANCJKO,antiparallel,3,-1875,71,14.934209919005344,2.4716789173015847
FANCJKO,antiparallel,4,-1825,57,13.52100945247735,2.1305160217596946
FANCJKO,antiparallel,5,-1775,78,12.840281953032834,1.4512162052260273
FANCJKO,antiparallel,6,-1725,76,12.012611696875574,1.5884533606769413
FANCJKO,antiparallel,7,-1675,80,12.33709022370391,1.8097231540054124
FANCJKO,antiparallel,8,-1625,67,12.601568968770339,1.5833351140883312
FANCJKO,antiparallel,9,-1575,74,12.901862919172975,1.6061873387404846
FANCJKO,antiparallel,10,-1525,82,12.03515635027168,1.6336453868748233
FANCJKO,antiparallel,11,-1475,73,12.90751960030359,1.4888085825756112
FANCJKO,antiparallel,12,-1425,84,10.5141718393817,1.1842488035887304
FANCJKO,antiparallel,13,-1375,74,11.434964307550516,1.6264460648896177
FANCJKO,antiparallel,14,-1325,74,14.06703215660623,2.7344905474525554
FANCJKO,antiparallel,15,-1275,81,11.082777213360073,1.3650336190918189
FANCJKO,antiparallel,16,-1225,83,13.074053459290003,1.3838595010387345
FANCJKO,antiparallel,17,-1175,93,12.092544264954443,1.6082041821453281
FANCJKO,antiparallel,18,-1125,78,11.457752643763657,1.329609090254835
FANCJKO,antiparallel,19,-1075,74,11.284140711119536,1.4935381496672653
FANCJKO,antiparallel,20,-1025,87,11.633121102821658,1.584713964669072
FANCJKO,antiparallel,21,-975,72,12.950651903719297,1.5473584009223487
FANCJKO,antiparallel,22,-925,86,12.17151999965737,2.409256104907097
FANCJKO,antiparallel,23,-875,95,12.063333432926415,1.3744322480240876
FANCJKO,antiparallel,24,-825,74,9.288870175757,0.8103319753992416
FANCJKO,antiparallel,25,-775,74,17.037012395619502,2.5681705159862984
FANCJKO,antiparallel,26,-725,82,13.142152474294255,2.45312954954524
FANCJKO,antiparallel,27,-675,94,13.11599593693197,1.6099263093456675
FANCJKO,antiparallel,28,-625,102,14.190516373490805,1.850728525652681
FANCJKO,antiparallel,29,-575,92,15.164979162187134,2.3070482346349825
FANCJKO,antiparallel,30,-525,88,15.351054148325892,1.8317063649936245
FANCJKO,antiparallel,31,-475,111,13.589226486181248,1.508056811539203
FANCJKO,antiparallel,32,-425,79,19.925100404957412,3.549695871290992
FANCJKO,antiparallel,33,-375,109,13.495989975454142,1.2849683238798288
FANCJKO,antiparallel,34,-325,112,14.030939635813406,1.4843864981157753
FANCJKO,antiparallel,35,-275,99,20.0085848194252,2.567716578666003
FANCJKO,antiparallel,36,-225,107,17.916390769454424,2.0988545758367905
FANCJKO,antiparallel,37,-175,121,16.088386829776784,2.002300875678655
FANCJKO,antiparallel,38,-125,123,16.633834597099067,1.8971851420109094
FANCJKO,antiparallel,39,-75,137,16.115955873037933,1.6375977403418467
FANCJKO,antiparallel,40,-25,136,19.029474798769105,2.8650154146118694
FANCJKO,antiparallel,41,25,151,19.43376716742184,2.1738188505196687
FANCJKO,antiparallel,42,75,178,20.32240529123959,2.2644117243044364
FANCJKO,antiparallel,43,125,176,21.41986467825864,2.515265402046003
FANCJKO,antiparallel,44,175,193,17.203113537326022,1.8088306084617476
FANCJKO,antiparallel,45,225,196,16.248166041754143,1.4681859202600163
FANCJKO,antiparallel,46,275,193,17.49394917807276,2.1307677459467396
FANCJKO,antiparallel,47,325,179,16.705672979854064,1.382558029431072
FANCJKO,antiparallel,48,375,140,15.135748831697958,1.2277058411983803
FANCJKO,antiparallel,49,425,153,16.46687638317451,1.9237719669717859
FANCJKO,antiparallel,50,475,151,18.239749573380042,2.561735620718282
FANCJKO,antiparallel,51,525,150,17.169085577624223,2.23864247388342
FANCJKO,antiparallel,52,575,115,15.161433233094977,1.601366698455197
FANCJKO,antiparallel,53,625,120,12.609174849431511,1.2007734799656467
FANCJKO,antiparallel,54,675,127,14.82687917035374,1.8244610048899592
FANCJKO,antiparallel,55,725,113,13.491629443608605,1.598472858799563
FANCJKO,antiparallel,56,775,119,10.05111632639893,0.7822182415637016
FANCJKO,antiparallel,57,825,94,13.017081850887223,1.1025938094657586
FANCJKO,antiparallel,58,875,99,11.948257820361452,1.2845033342497176
FANCJKO,antiparallel,59,925,90,14.036734176839675,1.8252603015373863
FANCJKO,antiparallel,60,975,91,10.8673869227554,0.9917353632399307
FANCJKO,antiparallel,61,1025,99,12.64044480690663,1.3836456254122669
FANCJKO,antiparallel,62,1075,83,12.065812572777627,1.470162851104823
