region,metric,median,mean,n
promoter,DeepG4 prob,0.21863557398319244,0.365764870855497,10744
promoter,pqsfinder score,60,65.73967789165447,10245
promoter,G4Hunter (PQS),1.58,1.6872145282129547,10245
5UTR,DeepG4 prob,0.19025536626577377,0.3218741668575371,1518
5UTR,pqsfinder score,62,65.45702592087312,1466
5UTR,G4Hunter (PQS),1.5714285714285714,1.6817362970753176,1466
intron1,DeepG4 prob,0.08841364830732346,0.1889060153552122,20443
intron1,pqsfinder score,46,53.49324032013844,18492
intron1,G4Hunter (PQS),1.4375,1.5709460208246466,18492
genebody,DeepG4 prob,0.0862230658531189,0.18160553936618182,52997
genebody,pqsfinder score,45,52.947912255441686,47228
genebody,G4Hunter (PQS),1.4193548387096775,1.5455095783963517,47228
enhancer,DeepG4 prob,0.17219601571559906,0.2827226239605123,6381
enhancer,pqsfinder score,56,63.62595049344766,6181
enhancer,G4Hunter (PQS),1.6,1.720732439467651,6181
intergenic,DeepG4 prob,0.07072604075074196,0.16118899945290757,55412
intergenic,pqsfinder score,43,51.26628007872849,47251
intergenic,G4Hunter (PQS),1.380952380952381,1.511346464278931,47251
