assay	genotype	region	obs	exp_mean	fold	p_perm	assay_label	region_label
G4_BG4	WT	promoter	7933	3988.8549943083403	1.98879127251292	0	BG4 (G4)	Promoter
G4_BG4	WT	enhancer	13145	2365.65388862249	5.556603213690857	0	BG4 (G4)	Enhancer (dELS)
G4_BG4	WT	5UTR	3410	286.45976071580907	11.90394068430083	0	BG4 (G4)	5'UTR
G4_BG4	WT	intron1	19663	13114.761406016432	1.4993029145752927	0	BG4 (G4)	1st intron
G4_BG4	WT	genebody	60421	51156.39454613257	1.1811035655672069	0	BG4 (G4)	Gene body
G4_BG4	DHX36KO	promoter	8417	4038.159794286461	2.084365262590426	0	BG4 (G4)	Promoter
G4_BG4	DHX36KO	enhancer	13830	2394.894884337407	5.774783724516716	0	BG4 (G4)	Enhancer (dELS)
G4_BG4	DHX36KO	5UTR	3702	290.00058664806943	12.765491417755532	0	BG4 (G4)	5'UTR
G4_BG4	DHX36KO	intron1	20245	13276.868248407814	1.524832484680852	0	BG4 (G4)	1st intron
G4_BG4	DHX36KO	genebody	61615	51788.720314880215	1.18973783529261	0	BG4 (G4)	Gene body
G4_BG4	FANCJKO	promoter	7552	3937.876954511958	1.9177846558529554	0	BG4 (G4)	Promoter
G4_BG4	FANCJKO	enhancer	12252	2335.4205514240352	5.246164333241513	0	BG4 (G4)	Enhancer (dELS)
G4_BG4	FANCJKO	5UTR	3224	282.79877100756704	11.400332429003848	0	BG4 (G4)	5'UTR
G4_BG4	FANCJKO	intron1	18778	12947.15320019548	1.4503574422612442	0	BG4 (G4)	1st intron
G4_BG4	FANCJKO	genebody	58450	50502.60975808354	1.1573659317802756	0	BG4 (G4)	Gene body
G4_BG4	dKO	promoter	8981	4245.529982429733	2.1154013838479924	0	BG4 (G4)	Promoter
G4_BG4	dKO	enhancer	14908	2517.879072197204	5.9208562335722785	0	BG4 (G4)	Enhancer (dELS)
G4_BG4	dKO	5UTR	3998	304.89288395139977	13.112801939442067	0	BG4 (G4)	5'UTR
G4_BG4	dKO	intron1	21469	13958.67055611274	1.5380404540458446	0	BG4 (G4)	1st intron
G4_BG4	dKO	genebody	65458	54448.208106965874	1.202206689178915	0	BG4 (G4)	Gene body
G4_BG4	ERCCWT	promoter	5154	4055.4499390751685	1.270882411921808	2.7526051611488007e-64	BG4 (G4)	Promoter
G4_BG4	ERCCWT	enhancer	7270	2405.1490796672983	3.0226816547295483	0	BG4 (G4)	Enhancer (dELS)
G4_BG4	ERCCWT	5UTR	2032	291.24227899988017	6.977008993947737	0	BG4 (G4)	5'UTR
G4_BG4	ERCCWT	intron1	14159	13333.71567051339	1.0618945498674215	2.0273949263725358e-14	BG4 (G4)	1st intron
G4_BG4	ERCCWT	genebody	48721	52010.463514327916	0.9367538127511259	1	BG4 (G4)	Gene body
G4_BG4	ERCCKO	promoter	6182	4275.313651194797	1.445975781980897	9.704101570739158e-172	BG4 (G4)	Promoter
G4_BG4	ERCCKO	enhancer	9308	2535.5427506041788	3.67100889850193	0	BG4 (G4)	Enhancer (dELS)
G4_BG4	ERCCKO	5UTR	2510	307.0317991638738	8.175048991131774	0	BG4 (G4)	5'UTR
G4_BG4	ERCCKO	intron1	16859	14056.594825159116	1.1993658641867528	1.6233579839188151e-133	BG4 (G4)	1st intron
G4_BG4	ERCCKO	genebody	53576	54830.17865053062	0.9771261250391989	0.9999999999999374	BG4 (G4)	Gene body
