assay	assay_label	region	comparison	wilcox_p	median_ctrl	median_ko	n_ctrl	n_ko
G4_BG4	BG4 (G4)	Promoter	DHX36KO_vs_WT	7.492280893377194e-108	1.4820451095600924	2.228685039192438	5000	5000
G4_BG4	BG4 (G4)	Enhancer (dELS)	DHX36KO_vs_WT	1.0187908670341484e-70	1.2595750045276208	1.9069254411473477	5000	5000
G4_BG4	BG4 (G4)	5'UTR	DHX36KO_vs_WT	5.129130903774555e-57	1.2424000104268391	1.9591073104512622	5000	5000
G4_BG4	BG4 (G4)	1st intron	DHX36KO_vs_WT	5.25261343026889e-124	1.5542834982905842	2.449728855162566	5000	5000
G4_BG4	BG4 (G4)	Gene body	DHX36KO_vs_WT	3.102743933007186e-147	1.7965261771798082	2.742108858761675	5000	5000
Rloop_S96	S9.6 (R-loop)	Promoter	DHX36KO_vs_WT	9.308863813068627e-19	0.5717288978695869	0.7443463779687882	5000	5000
Rloop_S96	S9.6 (R-loop)	Enhancer (dELS)	DHX36KO_vs_WT	0.054871440075600714	0	0	5000	5000
Rloop_S96	S9.6 (R-loop)	5'UTR	DHX36KO_vs_WT	0.6512732936214827	0	0	5000	5000
Rloop_S96	S9.6 (R-loop)	1st intron	DHX36KO_vs_WT	2.766620496728259e-11	0.4561066550267112	0.6259454125674345	5000	5000
Rloop_S96	S9.6 (R-loop)	Gene body	DHX36KO_vs_WT	3.027208819502602e-22	0.6483411518849063	0.8084769466518995	5000	5000
G4_BG4	BG4 (G4)	Promoter	FANCJKO_vs_WT	2.699402754048312e-29	1.4820451095600924	1.779558635080854	5000	5000
G4_BG4	BG4 (G4)	Enhancer (dELS)	FANCJKO_vs_WT	2.2801314706006934e-16	1.2595750045276208	1.530995830053838	5000	5000
G4_BG4	BG4 (G4)	5'UTR	FANCJKO_vs_WT	2.16983428899985e-13	1.2424000104268391	1.5217667420705159	5000	5000
G4_BG4	BG4 (G4)	1st intron	FANCJKO_vs_WT	1.4321132509267343e-27	1.5542834982905842	1.8917340621813055	5000	5000
G4_BG4	BG4 (G4)	Gene body	FANCJKO_vs_WT	5.375521302445291e-34	1.7965261771798082	2.1495927787274773	5000	5000
Rloop_S96	S9.6 (R-loop)	Promoter	FANCJKO_vs_WT	0.014388605831505185	0.5717288978695869	0.6014108507633209	5000	5000
Rloop_S96	S9.6 (R-loop)	Enhancer (dELS)	FANCJKO_vs_WT	0.046755503183662984	0	0	5000	5000
Rloop_S96	S9.6 (R-loop)	5'UTR	FANCJKO_vs_WT	0.5525954892280004	0	0	5000	5000
Rloop_S96	S9.6 (R-loop)	1st intron	FANCJKO_vs_WT	0.024150545530399577	0.4561066550267112	0.48768501878623727	5000	5000
