gene_id	gene_name	DHX36KO_vs_WT	FANCJKO_vs_WT	dKO_vs_WT
ENSMUSG00000025902	Sox17	TRUE	TRUE	TRUE
ENSMUSG00000045210	Vcpip1	TRUE	FALSE	TRUE
ENSMUSG00000025921	Rdh10	TRUE	FALSE	TRUE
ENSMUSG00000041779	Tram2	TRUE	FALSE	TRUE
ENSMUSG00000026131	Dst	TRUE	FALSE	FALSE
ENSMUSG00000037503	Fam168b	TRUE	FALSE	TRUE
ENSMUSG00000026123	Plekhb2	TRUE	FALSE	FALSE
ENSMUSG00000037408	Cnnm4	TRUE	FALSE	FALSE
ENSMUSG00000001138	Cnnm3	TRUE	FALSE	FALSE
ENSMUSG00000050122	Vwa3b	TRUE	FALSE	FALSE
ENSMUSG00000026114	Cnga3	TRUE	FALSE	TRUE
ENSMUSG00000060771	Tsga10	TRUE	FALSE	TRUE
ENSMUSG00000026080	Chst10	TRUE	FALSE	TRUE
ENSMUSG00000008136	Fhl2	TRUE	FALSE	TRUE
ENSMUSG00000101447	Gm28826	TRUE	FALSE	FALSE
ENSMUSG00000043629	1700019D03Rik	TRUE	FALSE	TRUE
ENSMUSG00000025981	Coq10b	TRUE	FALSE	TRUE
ENSMUSG00000038331	Satb2	TRUE	FALSE	FALSE
ENSMUSG00000026029	Casp8	TRUE	FALSE	TRUE
ENSMUSG00000040865	Ino80d	TRUE	FALSE	TRUE
ENSMUSG00000025959	Klf7	TRUE	FALSE	TRUE
ENSMUSG00000070871	Ccnyl1	TRUE	FALSE	FALSE
ENSMUSG00000015222	Map2	TRUE	FALSE	TRUE
ENSMUSG00000053153	Spag16	TRUE	FALSE	TRUE
ENSMUSG00000039395	Mreg	TRUE	FALSE	TRUE
ENSMUSG00000026189	Pecr	TRUE	FALSE	TRUE
ENSMUSG00000026185	Igfbp5	TRUE	FALSE	FALSE
ENSMUSG00000055322	Tns1	TRUE	FALSE	TRUE
ENSMUSG00000033257	Ttll4	TRUE	FALSE	TRUE
ENSMUSG00000033227	Wnt6	TRUE	FALSE	TRUE
ENSMUSG00000026167	Wnt10a	TRUE	FALSE	TRUE
ENSMUSG00000051703	Tmem198	TRUE	FALSE	TRUE
ENSMUSG00000026235	Epha4	TRUE	FALSE	TRUE
ENSMUSG00000113880	A030005L19Rik	TRUE	FALSE	TRUE
ENSMUSG00000026166	Ccl20	TRUE	FALSE	FALSE
ENSMUSG00000052477	C130026I21Rik	TRUE	FALSE	FALSE
ENSMUSG00000070034	Sp110	TRUE	FALSE	FALSE
ENSMUSG00000026255	Efhd1	TRUE	FALSE	FALSE
ENSMUSG00000034486	Gbx2	TRUE	FALSE	TRUE
ENSMUSG00000034159	Mab21l4	TRUE	FALSE	TRUE
ENSMUSG00000026280	Atg4b	TRUE	FALSE	TRUE
ENSMUSG00000102030	Gm29106	TRUE	FALSE	TRUE
ENSMUSG00000107722	2900060B14Rik	TRUE	FALSE	FALSE
ENSMUSG00000026380	Tfcp2l1	TRUE	FALSE	FALSE
ENSMUSG00000048402	Gli2	TRUE	FALSE	FALSE
ENSMUSG00000058665	En1	TRUE	FALSE	FALSE
ENSMUSG00000049690	Nckap5	TRUE	FALSE	TRUE
ENSMUSG00000026399	Cd55	TRUE	FALSE	FALSE
ENSMUSG00000042510	AA986860	TRUE	FALSE	TRUE
ENSMUSG00000026420	Il24	TRUE	FALSE	TRUE
ENSMUSG00000026433	Rab29	TRUE	FALSE	FALSE
ENSMUSG00000009772	Nuak2	TRUE	FALSE	TRUE
ENSMUSG00000026442	Nfasc	TRUE	FALSE	TRUE
ENSMUSG00000070643	Sox13	TRUE	FALSE	FALSE
ENSMUSG00000026458	Ppfia4	TRUE	FALSE	TRUE
ENSMUSG00000042793	Lgr6	TRUE	FALSE	TRUE
ENSMUSG00000026421	Csrp1	TRUE	FALSE	TRUE
ENSMUSG00000032487	Ptgs2	TRUE	TRUE	TRUE
ENSMUSG00000053286	Trmt1l	TRUE	FALSE	FALSE
ENSMUSG00000026483	Fam129a	TRUE	FALSE	FALSE
ENSMUSG00000026479	Lamc2	TRUE	FALSE	TRUE
ENSMUSG00000042699	Dhx9	TRUE	FALSE	TRUE
ENSMUSG00000042684	Npl	TRUE	FALSE	TRUE
ENSMUSG00000056708	Ier5	TRUE	FALSE	TRUE
ENSMUSG00000026469	Xpr1	TRUE	FALSE	TRUE
ENSMUSG00000033488	Cryzl2	TRUE	FALSE	TRUE
ENSMUSG00000040423	Rc3h1	TRUE	FALSE	TRUE
ENSMUSG00000026586	Prrx1	TRUE	FALSE	FALSE
ENSMUSG00000026576	Atp1b1	TRUE	FALSE	FALSE
ENSMUSG00000040713	Creg1	TRUE	FALSE	TRUE
ENSMUSG00000040629	Mael	TRUE	FALSE	FALSE
ENSMUSG00000040612	Ildr2	TRUE	FALSE	TRUE
ENSMUSG00000015843	Rxrg	TRUE	FALSE	FALSE
ENSMUSG00000007122	Casq1	TRUE	FALSE	TRUE
ENSMUSG00000037860	Aim2	TRUE	FALSE	TRUE
ENSMUSG00000026535	Ifi202b	TRUE	FALSE	FALSE
ENSMUSG00000026532	Spta1	TRUE	FALSE	TRUE
ENSMUSG00000026495	Efcab2	TRUE	FALSE	TRUE
ENSMUSG00000038949	Cnst	TRUE	FALSE	TRUE
ENSMUSG00000038855	Itpkb	TRUE	FALSE	TRUE
ENSMUSG00000066652	Lefty2	TRUE	TRUE	TRUE
ENSMUSG00000038793	Lefty1	TRUE	FALSE	TRUE
ENSMUSG00000026509	Capn2	TRUE	FALSE	TRUE
ENSMUSG00000038576	Susd4	TRUE	FALSE	TRUE
ENSMUSG00000039349	C130074G19Rik	TRUE	FALSE	TRUE
ENSMUSG00000026604	Ptpn14	TRUE	FALSE	TRUE
ENSMUSG00000037568	Vash2	TRUE	FALSE	TRUE
ENSMUSG00000066595	Flvcr1	TRUE	FALSE	FALSE
ENSMUSG00000026626	Ppp2r5a	TRUE	FALSE	FALSE
ENSMUSG00000026637	Traf5	TRUE	FALSE	FALSE
ENSMUSG00000026638	Irf6	TRUE	FALSE	TRUE
ENSMUSG00000026676	Ccdc3	TRUE	FALSE	TRUE
ENSMUSG00000043241	Upf2	TRUE	FALSE	TRUE
ENSMUSG00000015619	Gata3	TRUE	FALSE	FALSE
ENSMUSG00000061186	Sfmbt2	TRUE	FALSE	FALSE
ENSMUSG00000026773	Pfkfb3	TRUE	FALSE	TRUE
ENSMUSG00000026726	Cubn	TRUE	TRUE	TRUE
ENSMUSG00000026712	Mrc1	TRUE	FALSE	TRUE
ENSMUSG00000054057	A930004D18Rik	TRUE	FALSE	TRUE
ENSMUSG00000054074	Skida1	TRUE	FALSE	TRUE
ENSMUSG00000026743	Mllt10	TRUE	FALSE	TRUE
ENSMUSG00000026737	Pip4k2a	TRUE	FALSE	TRUE
ENSMUSG00000085477	Gm13335	TRUE	FALSE	FALSE
ENSMUSG00000044628	Rnf208	TRUE	FALSE	FALSE
ENSMUSG00000026921	Egfl7	TRUE	FALSE	FALSE
ENSMUSG00000026922	Agpat2	TRUE	FALSE	TRUE
ENSMUSG00000015776	Med22	TRUE	FALSE	TRUE
ENSMUSG00000026833	Olfm1	TRUE	FALSE	TRUE
ENSMUSG00000026812	Tsc1	TRUE	FALSE	TRUE
ENSMUSG00000079502	Cfap77	TRUE	FALSE	FALSE
ENSMUSG00000039660	Spout1	TRUE	FALSE	TRUE
ENSMUSG00000039254	Pomt1	TRUE	FALSE	TRUE
ENSMUSG00000038860	Garnl3	TRUE	FALSE	TRUE
ENSMUSG00000068966	Zbtb34	TRUE	FALSE	TRUE
ENSMUSG00000070953	Rabepk	TRUE	FALSE	FALSE
ENSMUSG00000026873	Phf19	TRUE	FALSE	TRUE
ENSMUSG00000026879	Gsn	TRUE	FALSE	TRUE
ENSMUSG00000047250	Ptgs1	TRUE	FALSE	FALSE
ENSMUSG00000009030	Pdcl	TRUE	FALSE	FALSE
ENSMUSG00000075334	Rprm	TRUE	FALSE	TRUE
ENSMUSG00000026991	Pkp4	TRUE	FALSE	TRUE
ENSMUSG00000026980	Ly75	TRUE	FALSE	TRUE
ENSMUSG00000026970	Rbms1	TRUE	FALSE	TRUE
ENSMUSG00000035000	Dpp4	TRUE	FALSE	TRUE
ENSMUSG00000026896	Ifih1	TRUE	FALSE	TRUE
ENSMUSG00000026893	Gca	TRUE	FALSE	TRUE
ENSMUSG00000027030	Stk39	TRUE	FALSE	FALSE
ENSMUSG00000027070	Lrp2	TRUE	FALSE	FALSE
ENSMUSG00000070880	Gad1	TRUE	FALSE	TRUE
ENSMUSG00000064263	Platr26	TRUE	FALSE	TRUE
ENSMUSG00000006494	Pdk1	TRUE	FALSE	FALSE
ENSMUSG00000056436	Cyct	TRUE	FALSE	FALSE
ENSMUSG00000034701	Neurod1	TRUE	FALSE	FALSE
ENSMUSG00000005505	Kbtbd4	TRUE	FALSE	FALSE
ENSMUSG00000075040	Zfp408	TRUE	FALSE	TRUE
ENSMUSG00000027220	Syt13	TRUE	FALSE	TRUE
ENSMUSG00000027198	Ext2	TRUE	FALSE	FALSE
ENSMUSG00000075023	Accsl	TRUE	FALSE	TRUE
ENSMUSG00000087006	Gm13889	TRUE	FALSE	TRUE
ENSMUSG00000032841	Prr5l	TRUE	FALSE	TRUE
ENSMUSG00000048058	Ldlrad3	TRUE	FALSE	TRUE
ENSMUSG00000075012	Fjx1	TRUE	FALSE	FALSE
ENSMUSG00000005087	Cd44	TRUE	FALSE	TRUE
ENSMUSG00000027187	Cat	TRUE	FALSE	FALSE
ENSMUSG00000027171	Prrg4	TRUE	FALSE	TRUE
ENSMUSG00000027168	Pax6	TRUE	FALSE	TRUE
ENSMUSG00000074968	Ano3	TRUE	FALSE	FALSE
ENSMUSG00000057378	Ryr3	TRUE	FALSE	TRUE
ENSMUSG00000087106	Gm13964	TRUE	FALSE	FALSE
ENSMUSG00000068614	Actc1	TRUE	FALSE	TRUE
ENSMUSG00000027351	Spred1	TRUE	FALSE	TRUE
ENSMUSG00000040152	Thbs1	TRUE	FALSE	TRUE
ENSMUSG00000040093	Bmf	TRUE	FALSE	TRUE
ENSMUSG00000074916	Chst14	TRUE	FALSE	TRUE
ENSMUSG00000027304	Rtf1	TRUE	FALSE	TRUE
ENSMUSG00000054484	Tmem62	TRUE	FALSE	TRUE
ENSMUSG00000027245	Hypk	TRUE	FALSE	FALSE
ENSMUSG00000060802	B2m	TRUE	FALSE	TRUE
ENSMUSG00000001999	Blvra	TRUE	FALSE	FALSE
ENSMUSG00000027377	Mall	TRUE	FALSE	TRUE
ENSMUSG00000027381	Bcl2l11	TRUE	FALSE	FALSE
ENSMUSG00000027394	Ttl	TRUE	FALSE	TRUE
ENSMUSG00000027356	Fermt1	TRUE	FALSE	TRUE
ENSMUSG00000051379	Flrt3	TRUE	FALSE	TRUE
ENSMUSG00000015932	Dstn	TRUE	FALSE	TRUE
ENSMUSG00000027425	Kat14	TRUE	FALSE	TRUE
ENSMUSG00000068079	Tcf15	TRUE	FALSE	TRUE
ENSMUSG00000007659	Bcl2l1	TRUE	FALSE	TRUE
ENSMUSG00000003283	Hck	TRUE	FALSE	TRUE
ENSMUSG00000061411	Nol4l	TRUE	FALSE	TRUE
ENSMUSG00000027478	Dnmt3b	TRUE	FALSE	FALSE
ENSMUSG00000027610	Gss	TRUE	FALSE	FALSE
ENSMUSG00000067818	Myl9	TRUE	FALSE	TRUE
ENSMUSG00000062175	Tgif2	TRUE	FALSE	TRUE
ENSMUSG00000055485	Soga1	TRUE	FALSE	TRUE
ENSMUSG00000027639	Samhd1	TRUE	FALSE	FALSE
ENSMUSG00000067786	Nnat	TRUE	FALSE	TRUE
ENSMUSG00000037820	Tgm2	TRUE	FALSE	TRUE
ENSMUSG00000016933	Plcg1	TRUE	FALSE	TRUE
ENSMUSG00000048486	Fitm2	TRUE	FALSE	TRUE
ENSMUSG00000017721	Pigt	TRUE	FALSE	FALSE
ENSMUSG00000074593	Spint5	TRUE	FALSE	TRUE
ENSMUSG00000017754	Pltp	TRUE	FALSE	TRUE
ENSMUSG00000039804	Ncoa5	TRUE	FALSE	FALSE
ENSMUSG00000017667	Zfp334	TRUE	FALSE	TRUE
ENSMUSG00000050556	Kcnb1	TRUE	FALSE	TRUE
ENSMUSG00000044641	Pard6b	TRUE	FALSE	TRUE
ENSMUSG00000015647	Lama5	TRUE	FALSE	FALSE
ENSMUSG00000038932	Tcfl5	TRUE	FALSE	TRUE
ENSMUSG00000023393	Slc17a9	TRUE	FALSE	TRUE
ENSMUSG00000045493	Bhlhe23	TRUE	FALSE	FALSE
ENSMUSG00000016344	Ppdpf	TRUE	FALSE	TRUE
ENSMUSG00000027580	Helz2	TRUE	FALSE	TRUE
ENSMUSG00000027581	Stmn3	TRUE	FALSE	TRUE
ENSMUSG00000027583	Zbtb46	TRUE	FALSE	TRUE
ENSMUSG00000027500	Stmn2	TRUE	FALSE	TRUE
ENSMUSG00000069114	Zbtb10	TRUE	FALSE	TRUE
ENSMUSG00000027559	Car3	TRUE	FALSE	TRUE
ENSMUSG00000039221	Rpl22l1	TRUE	FALSE	TRUE
ENSMUSG00000027702	Lrrc34	TRUE	FALSE	TRUE
ENSMUSG00000097639	Platr4	TRUE	FALSE	TRUE
ENSMUSG00000090919	Pabpc4l	TRUE	FALSE	FALSE
ENSMUSG00000037892	Pcdh18	TRUE	FALSE	TRUE
ENSMUSG00000037161	Mgarp	TRUE	FALSE	FALSE
ENSMUSG00000027797	Dclk1	TRUE	FALSE	FALSE
ENSMUSG00000027803	Wwtr1	TRUE	FALSE	FALSE
ENSMUSG00000036503	Rnf13	TRUE	FALSE	FALSE
ENSMUSG00000036432	Siah2	TRUE	FALSE	TRUE
ENSMUSG00000036885	Arhgef26	TRUE	FALSE	TRUE
ENSMUSG00000027770	Dhx36	TRUE	FALSE	TRUE
ENSMUSG00000027820	Mme	TRUE	FALSE	FALSE
ENSMUSG00000048416	Mlf1	TRUE	FALSE	TRUE
ENSMUSG00000027777	Schip1	TRUE	FALSE	TRUE
ENSMUSG00000027804	Ppid	TRUE	FALSE	TRUE
ENSMUSG00000027956	Tmem144	TRUE	FALSE	TRUE
