genotype	region_type	window_size	count_with	count_against	n_total	pct_with	p_value_binom	padj
WT	promoter	250	806	0	806	100	4.686552543423651e-243	1.4996968138955684e-242
DHX36KO	promoter	250	799	0	799	100	5.998787255582668e-241	1.5996766014887113e-240
FANCJKO	promoter	250	750	0	750	100	3.377017006114502e-226	6.754034012229004e-226
dKO	promoter	250	819	0	819	100	5.720889335234541e-247	4.576711468187633e-246
WT	5'UTR	250	134	0	134	100	9.183549615799215e-41	9.183549615799215e-41
DHX36KO	5'UTR	250	147	0	147	100	1.1210387714598666e-44	1.2811871673827045e-44
FANCJKO	5'UTR	250	157	0	157	100	1.094764425253773e-47	1.751623080406037e-47
dKO	5'UTR	250	152	0	152	100	3.503246160812046e-46	5.095630779362976e-46
WT	promoter	500	808	0	808	100	1.171638135855951e-243	4.686552543423804e-243
DHX36KO	promoter	500	813	0	813	100	3.6613691745501315e-245	1.9527302264267367e-244
FANCJKO	promoter	500	796	0	796	100	4.7990298044659823e-240	1.0969210981636531e-239
dKO	promoter	500	846	0	846	100	4.2623947078243763e-255	6.819831532519002e-254
WT	5'UTR	500	141	0	141	100	7.174648137343129e-43	7.652958013166004e-43
DHX36KO	5'UTR	500	147	0	147	100	1.1210387714598666e-44	1.2811871673827045e-44
FANCJKO	5'UTR	500	173	0	173	100	1.6704779438076199e-52	2.9697385667691017e-52
dKO	5'UTR	500	148	0	148	100	5.605193857299343e-45	7.473591809732457e-45
