genotype	region_type	window_size	count_plus	count_minus	n_total	pct_plus	p_value_binom	fold_plus	padj
WT	promoter	250	912	855	1767	51.61290322580645	0.18277816899595084	1.032258064516129	0.8776687083409167
DHX36KO	promoter	250	883	880	1763	50.0850822461713	0.962010881431246	1.001701644923426	0.962010881431246
FANCJKO	promoter	250	870	867	1737	50.086355785837654	0.9617278640512543	1.001727115716753	0.962010881431246
dKO	promoter	250	879	875	1754	50.11402508551881	0.9428975508902044	1.0022805017103762	0.962010881431246
WT	5'UTR	250	110	123	233	47.21030042918455	0.4318458053881856	0.944206008583691	0.8776687083409167
DHX36KO	5'UTR	250	111	126	237	46.835443037974684	0.36317039201597234	0.9367088607594937	0.8776687083409167
FANCJKO	5'UTR	250	137	126	263	52.09125475285171	0.5375617758977014	1.0418250950570342	0.8776687083409167
dKO	5'UTR	250	117	129	246	47.5609756097561	0.4831705602293297	0.9512195121951219	0.8776687083409167
WT	promoter	500	895	872	1767	50.65082059988681	0.6007329853115757	1.0130164119977363	0.8776687083409167
DHX36KO	promoter	500	860	903	1763	48.78048780487805	0.317173301253699	0.975609756097561	0.8776687083409167
FANCJKO	promoter	500	910	827	1737	52.38917674150835	0.04909478916411815	1.047783534830167	0.7855166266258904
dKO	promoter	500	899	855	1754	51.254275940706954	0.30454927598360204	1.025085518814139	0.8776687083409167
WT	5'UTR	500	109	124	233	46.78111587982833	0.3590816087705512	0.9356223175965666	0.8776687083409167
DHX36KO	5'UTR	500	114	123	237	48.10126582278481	0.6033972369843802	0.9620253164556962	0.8776687083409167
FANCJKO	5'UTR	500	135	128	263	51.330798479087456	0.7114763589543261	1.026615969581749	0.9230289995377731
dKO	5'UTR	500	120	126	246	48.78048780487805	0.7499610621244406	0.975609756097561	0.9230289995377731
