region,topology,n,frac
promoter,parallel,8263,0.7690804169769173
promoter,antiparallel,786,0.07315711094564407
promoter,hybrid,1196,0.11131794489947879
promoter,no_canonical_PQS,499,0.04644452717795979
5UTR,parallel,1179,0.7766798418972332
5UTR,antiparallel,111,0.07312252964426877
5UTR,hybrid,176,0.11594202898550725
5UTR,no_canonical_PQS,52,0.034255599472990776
intron1,parallel,14791,0.7216882166382045
intron1,antiparallel,1762,0.08597218833861918
intron1,hybrid,1939,0.09460844108319102
intron1,no_canonical_PQS,2003,0.09773115393998537
genebody,parallel,37457,0.705790356315125
genebody,antiparallel,4545,0.08563999170921972
genebody,hybrid,5226,0.09847185845376948
genebody,no_canonical_PQS,5843,0.11009779352188577
enhancer,parallel,5119,0.801973993420022
enhancer,antiparallel,413,0.06470311765627448
enhancer,hybrid,649,0.10167632774557418
enhancer,no_canonical_PQS,202,0.031646561178129404
intergenic,parallel,37527,0.6745578084555651
intergenic,antiparallel,4481,0.08054716709807305
intergenic,hybrid,5243,0.09424431981593327
intergenic,no_canonical_PQS,8381,0.15065070463042854
