genotype,topology,n,frac
WT,parallel,78211,0.7290633506096424
WT,antiparallel,8520,0.07942130579067079
WT,hybrid,10767,0.10036727693053432
WT,no_canonical_PQS,9778,0.09114806666915247
DHX36KO,parallel,79450,0.7315703209885638
DHX36KO,antiparallel,8641,0.07956575385352019
DHX36KO,hybrid,10912,0.10047697095817756
DHX36KO,no_canonical_PQS,9599,0.0883869541997385
FANCJKO,parallel,76408,0.7214767952410179
FANCJKO,antiparallel,8234,0.07774892592417733
FANCJKO,hybrid,10578,0.09988196968981634
FANCJKO,no_canonical_PQS,10685,0.10089230914498844
dKO,parallel,83281,0.7293898177423169
dKO,antiparallel,9175,0.08035628267895147
dKO,hybrid,11479,0.1005351246726631
dKO,no_canonical_PQS,10244,0.08971877490606854
