ko,topology,dz_class,n,frac
DHX36KO,parallel,gained,2676,0.025647906762766445
DHX36KO,parallel,stable,96897,0.9287015028369882
DHX36KO,parallel,lost,4763,0.04565059040024536
DHX36KO,antiparallel,gained,293,0.024218879153579103
DHX36KO,antiparallel,stable,11186,0.9246156389485866
DHX36KO,antiparallel,lost,619,0.051165481897834354
DHX36KO,hybrid,gained,364,0.025226973456233974
DHX36KO,hybrid,stable,13413,0.9295862499133689
DHX36KO,hybrid,lost,652,0.045186776630397114
FANCJKO,parallel,gained,149,0.001428092202999952
FANCJKO,parallel,stable,104051,0.9972779987540135
FANCJKO,parallel,lost,135,0.0012939090429865338
FANCJKO,antiparallel,gained,13,0.001074557778145148
FANCJKO,antiparallel,stable,12068,0.9975202512812035
FANCJKO,antiparallel,lost,17,0.0014051909406513474
FANCJKO,hybrid,gained,22,0.001524812863875797
FANCJKO,hybrid,stable,14383,0.9968810645966177
FANCJKO,hybrid,lost,23,0.001594122539506515
dKO,parallel,gained,6351,0.06087064867351633
dKO,parallel,stable,87798,0.8414928691918417
dKO,parallel,lost,10187,0.09763648213464192
dKO,antiparallel,gained,682,0.056372954207306994
dKO,antiparallel,stable,10153,0.8392296247313605
dKO,antiparallel,lost,1263,0.10439742106133246
dKO,hybrid,gained,902,0.06251299466352485
dKO,hybrid,stable,12206,0.8459352692494282
dKO,hybrid,lost,1321,0.09155173608704692
