ko,topology,direction,n_dir_in_topo,n_topo,odds_ratio,ci_low,ci_high,p_value
DHX36KO,parallel,lost,4763,104336,0.9505080074607303,0.8918908663995817,1.0135033972236476,0.1193586254370157
DHX36KO,antiparallel,lost,619,12098,1.1287566282720674,1.0347660088080888,1.2296646981553976,0.005895361085917503
DHX36KO,hybrid,lost,652,14429,0.9765063417270042,0.8972004771120584,1.0615236101980177,0.5988381402632832
DHX36KO,parallel,gained,2676,104336,1.0365070040058375,0.9502781866611114,1.1317540325626494,0.43207280684731963
DHX36KO,antiparallel,gained,293,12098,0.9448302641482317,0.8339693707157342,1.067223393174128,0.3796796634998204
DHX36KO,hybrid,gained,364,14429,0.9890387355714548,0.8833680523768059,1.104780865026581,0.8665487390943534
FANCJKO,parallel,lost,135,104335,0.857844929087802,0.5986744507667269,1.2538168645925536,0.3971695088235498
FANCJKO,antiparallel,lost,17,12098,1.0563297034597425,0.5999882099939211,1.7465423218327076,0.7938360244570251
FANCJKO,hybrid,lost,23,14428,1.221458498317782,0.7512802021927718,1.9023242632852941,0.39645253224160554
FANCJKO,parallel,gained,149,104335,1.0824274120483706,0.7446800500628145,1.6128612265012323,0.7145271718607503
FANCJKO,antiparallel,gained,13,12098,0.7460606565662102,0.38912694035872575,1.3107082771427956,0.37213441734154745
FANCJKO,hybrid,gained,22,14428,1.09602800634013,0.6680572931109579,1.7176280470698002,0.6384117049564981
dKO,parallel,lost,10187,104336,1.002574581425724,0.9578977753004905,1.0496135444918564,0.9169603580257851
dKO,antiparallel,lost,1263,12098,1.0864496479492998,1.0209489865392638,1.155396246718898,0.008759166726804109
dKO,hybrid,lost,1321,14429,0.9239973058949084,0.8697468536591247,0.9811108283659712,0.009259627831045562
dKO,parallel,gained,6351,104336,1.0206532311407241,0.9641152180963998,1.080973050176969,0.4892701734809843
dKO,antiparallel,gained,682,12098,0.9184764264800847,0.8459496264588805,0.9960512961521499,0.03943964062689707
dKO,hybrid,gained,902,14429,1.0372613142374318,0.9645252390269841,1.1144475178235904,0.318036110846764
