motif_id,tf,motif_gc,frac_unclassified,frac_classified,frac_background,log2OR_vs_classified,p_vs_classified,log2OR_vs_background,p_vs_background,q_vs_classified,q_vs_background
MA0681.2,PHOX2B,0.158,0.13345111896348646,0.05777385159010601,0.04923439340400471,1.3281942884007467,3.4744679515775548e-127,1.5718329565866989,4.0481609036359424e-165,6.646033568915014e-126,2.013285356074942e-163
MA1471.1,BARX2,0.248,0.054711425206124854,0.02073027090694935,0.019140164899882215,1.4497815191926493,1.488115053785059e-62,1.5670878639253707,3.977792845262052e-70,1.2908532908414582e-61,5.116264590630157e-69
MA0602.1,Arid5a,0.277,0.061130742049469965,0.01967020023557126,0.0215547703180212,1.69676409519473,1.8146785970195478e-87,1.5621811084508548,1.1796683342282825e-77,2.5542457233520427e-86,1.7959848517026507e-76
MA0601.1,Arid3b,0.153,0.07962308598351,0.03215547703180212,0.0287396937573616,1.379883440582657,4.927929723491248e-83,1.5468289143848748,1.2913661815795422e-98,6.564706381650841e-82,2.9192702165404196e-97
MA0713.1,PHOX2A,0.165,0.05117785630153121,0.02043580683156655,0.01872791519434629,1.369174003388425,6.935432558900544e-54,1.4974067134261537,1.4914287870203398e-61,5.12260662271268e-53,1.4449426949573683e-60
MA0780.1,PAX3,0.15,0.023439340400471142,0.008480565371024734,0.008480565371024734,1.4854409653104323,5.956853228603563e-29,1.4854409653104323,5.956853228603563e-29,2.3891465099668054e-28,2.7430941410729987e-28
MA0908.1,HOXD11,0.281,0.01967020023557126,0.0076560659599528855,0.0071849234393404,1.3755289285963153,5.01089515768704e-22,1.467481762368429,3.808837074684141e-24,1.6182371375041262e-21,1.4646352874816335e-23
MA0046.2,HNF1A,0.227,0.059305064782096586,0.029328621908127208,0.02243816254416961,1.060369049887937,1.175214758343492e-41,1.456484202339686,4.97948766787032e-68,6.591806088152219e-41,5.4627908826930274e-67
MA0873.1,HOXD12,0.339,0.015253239104829211,0.005948174322732627,0.0055948174322732625,1.3678227107307384,2.7389728883614295e-17,1.4562425302421649,7.182171092748227e-19,7.403165850426183e-17,2.204896969214065e-18
MA0135.1,Lhx3,0.131,0.06925795053003533,0.029328621908127208,0.026442873969375735,1.2994355981285681,2.498178041402219e-66,1.4529905404086294,1.285162798969691e-78,2.420312751800072e-65,1.997357183398728e-77
MA0651.1,HOXC11,0.336,0.014605418138987044,0.005712603062426384,0.005418138987043581,1.3627327235513473,1.5689270466085065e-16,1.4391087635226034,7.746687437588004e-18,4.1504240310990993e-16,2.2842011179607316e-17
MA0790.1,POU4F1,0.215,0.09040047114252062,0.03657243816254417,0.035924617196702,1.3878242968983905,1.726341691860117e-94,1.414557123855454,2.7142933880029933e-97,2.7401083023992495e-93,5.472602344460089e-96
MA0680.1,PAX7,0.158,0.02396937573616019,0.009069493521790341,0.009128386336866903,1.4210500371813704,9.393212618539777e-28,1.4116565529462684,1.7223914968885747e-27,3.61202918218076e-27,7.470372422551609e-27
MA0153.2,HNF1B,0.208,0.03833922261484099,0.017785630153121318,0.014840989399293287,1.1373389635176538,6.324083773513103e-31,1.4023092624118276,1.9898732613515894e-42,2.7270326560929333e-30,1.302145134182707e-41
MA0788.1,POU3F3,0.207,0.0928150765606596,0.03215547703180212,0.03739693757361602,1.6218074777544111,1.8092222886924904e-122,1.396302792646805,8.65000787761771e-98,3.3741995684114942e-121,1.8436873933436604e-96
MA0715.1,PROP1,0.084,0.058657243816254416,0.025500588928150766,0.0232037691401649,1.2507774655371124,1.9703627514692569e-53,1.3901803760798461,8.789215607025814e-63,1.4410692280353584e-52,8.627309003738496e-62
MA0757.1,ONECUT3,0.196,0.07473498233215548,0.03191990577149588,0.029976442873969375,1.2918230891468456,1.2175995107929308e-70,1.3852573621303093,1.2015458652068144e-78,1.2793369507767976e-69,1.9071345009452843e-77
MA0679.2,ONECUT1,0.239,0.09452296819787986,0.04246171967020024,0.038633686690223795,1.2346009320483486,4.200282219172856e-82,1.3765612266488587,2.4639099389604154e-97,5.402431957763708e-81,5.105768929067971e-96
MA0791.1,POU4F3,0.249,0.08133097762073027,0.036984687868080096,0.033156654888103654,1.2042623387031484,1.5177999273627376e-68,1.367482713759477,1.4677738618764538e-83,1.509704994416803e-67,2.5464169789763592e-82
MA0660.1,MEF2B,0.255,0.05005889281507656,0.02061248527679623,0.020200235571260307,1.3229371772414649,4.238610455758721e-50,1.352648644318998,8.276066205233373e-52,2.9009205504550514e-49,6.63865095602591e-51
MA0084.1,SRY,0.238,0.05259128386336867,0.01802120141342756,0.02131919905771496,1.5952840084443995,2.808824250177901e-69,1.3483367547916931,4.899489026953834e-54,2.831598500855019e-68,4.201171050698345e-53
MA0756.1,ONECUT2,0.236,0.043521790341578326,0.0160188457008245,0.017550058892815076,1.4811912589605802,6.985984530167703e-52,1.3474698394633908,4.239518240654457e-45,5.0111004418318327e-51,2.875164188662023e-44
MA0773.1,MEF2D,0.225,0.06590106007067138,0.02838633686690224,0.027502944640753826,1.2710593339542522,3.704732747061701e-61,1.31793297562057,1.1451378741241311e-64,3.105315313829246e-60,1.1702367864337012e-63
MA1503.1,HOXB9,0.313,0.02043580683156655,0.009305064782096584,0.008362779740871613,1.1488304879857147,1.483411899938986e-17,1.3037229145180531,3.9970899905220884e-21,4.0986121383499397e-17,1.3492439515518e-20
MA0897.1,Hmx2,0.335,0.053003533568904596,0.02061248527679623,0.02226148409893993,1.409831110407977,3.257706484238965e-58,1.2965212087431408,2.708277031420931e-51,2.5581568813076505e-57,2.0616068014694026e-50
MA0885.1,Dlx2,0.22,0.019257950530035334,0.008303886925795053,0.007950530035335688,1.2267167413441888,2.6162176331162883e-18,1.289739890890294,1.0885615673268314e-19,7.594157020641054e-18,3.4703714924180182e-19
MA0905.1,HOXC10,0.283,0.027090694935217905,0.011248527679623086,0.011248527679623086,1.289158679675298,5.244865214713201e-27,1.289158679675298,5.244865214713201e-27,1.9661655528522854e-26,2.2296472274181518e-26
MA0845.1,FOXB1,0.193,0.10641931684334512,0.05265017667844523,0.04646643109540636,1.099138823769491,4.562829135704233e-76,1.288667217148395,3.509460002022804e-98,5.005691963581409e-75,7.700168122085329e-97
MA0052.4,MEF2A,0.257,0.11548881036513545,0.05765606595995289,0.050765606595995286,1.0932103029901503,2.658574297786378e-81,1.2872416790747996,8.494106906606679e-106,3.305494043581063e-80,2.1850357766650287e-104
MA0619.1,LIN54,0.188,0.07579505300353356,0.03127208480565371,0.03250883392226148,1.3443074264939499,3.9599451719529755e-76,1.2865596827639196,3.8905177550676e-71,4.4091329825028654e-75,5.182725438000767e-70
MA0025.2,NFIL3,0.296,0.039634864546525324,0.016136631330977622,0.016666666666666666,1.3297456893940895,1.8401877041280097e-40,1.282425696219472,2.5650492357493126e-38,1.0093970788819818e-39,1.4607074273809064e-37
MA0898.1,Hmx3,0.33,0.05341578327444052,0.02308598351001178,0.022791519434628975,1.2547043172602577,3.846997970351337e-49,1.2736354433054118,2.771332212034884e-50,2.5623754338233012e-48,2.0469443863148747e-49
MA0703.2,LMX1B,0.124,0.04935217903415783,0.023616018845700824,0.021024734982332156,1.100947268051317,3.136149085057743e-37,1.2722276815809526,1.4137521667475245e-46,1.591542324798011e-36,9.856627256015452e-46
MA0785.1,POU2F1,0.25,0.0706713780918728,0.028150765606595997,0.030624263839811542,1.391586254417214,4.3187802934208944e-75,1.2665305768993451,5.612199097055349e-65,4.6692899983941846e-74,5.814861842226792e-64
MA0879.1,Dlx1,0.271,0.0267962308598351,0.010011778563015312,0.011307420494699646,1.4423480275585463,1.7265348928365707e-31,1.2653720209953647,5.25177588461391e-26,7.6212723671957495e-31,2.152650994462624e-25
MA0901.2,HOXB13,0.238,0.1288574793875147,0.07273262661955242,0.05806831566548881,0.9149210493550481,9.147600541860604e-67,1.2622614262630014,1.558087605356678e-113,8.97909211082633e-66,4.304938346652155e-112
MA1506.1,HOXD10,0.347,0.01866902237926973,0.007302709069493522,0.007891637220259129,1.3672244068635095,8.333151814897137e-21,1.2549078537252167,2.156098021875531e-18,2.5902213557971937e-20,6.45963503742629e-18
MA0683.1,POU4F2,0.238,0.0702002355712603,0.029976442873969375,0.030683156654888105,1.2879330435718694,2.8824261479416963e-66,1.2532965059673058,1.6023407926538783e-63,2.7567819312365454e-65,1.5937949750930577e-62
MA1113.2,PBX2,0.279,0.061130742049469965,0.029034157832744406,0.02673733804475854,1.1218740046675022,7.2490312303558e-47,1.244052356919708,4.244988429848489e-55,4.544350670458342e-46,3.909581936625892e-54
MA0151.1,Arid3a,0.062,0.2746760895170789,0.14846878680800943,0.1384570082449941,1.1188655422490292,2.520373978153286e-180,1.2364292322256965,4.811815910929021e-214,5.6975726900071256e-179,3.2632860632300447e-212
MA0040.1,Foxq1,0.202,0.06919905771495878,0.030035335689045935,0.030624263839811542,1.2627493498546807,2.113718222749309e-63,1.233885954736072,3.6892268493956965e-61,1.877183088298791e-62,3.5284143969861403e-60
MA1478.1,DMRTA2,0.353,0.037043580683156656,0.01431095406360424,0.016136631330977622,1.4039456741907679,3.8979825313804634e-41,1.2283867631765246,1.0966466969604146e-33,2.1700708719476313e-40,5.7209680834438415e-33
MA0639.1,DBP,0.317,0.012190812720848057,0.005005889281507656,0.005241460541813898,1.2895703005055719,5.304849171143429e-13,1.2232654404600327,4.4569330660495885e-12,1.2444709061864775e-12,1.0555149419914263e-11
MA1640.1,MEIS2(var.2),0.307,0.0588339222614841,0.027385159010600707,0.026148409893992933,1.149843222624124,5.327073616133504e-47,1.2182742401378162,1.923494200829685e-51,3.3677939979962665e-46,1.5104491303357317e-50
MA0911.1,Hoxa11,0.344,0.0176678445229682,0.008539458186101296,0.0076560659599528855,1.0596898720291035,1.1456761491620933e-13,1.2179440504665133,9.497318440345669e-17,2.757014217015876e-13,2.6240739098140256e-16
MA0087.1,Sox5,0.199,0.11154299175500589,0.044346289752650175,0.05123674911660778,1.435320333150601,2.2021035817713246e-121,1.2166440606535232,1.2621614259521165e-93,3.911355409527163e-120,2.414288266051997e-92
MA0621.1,mix-a,0.199,0.046113074204946994,0.022614840989399292,0.02037691401648999,1.0620575455159784,5.0310158442937414e-33,1.2154852668573897,9.810066360413844e-41,2.3025385397810622e-32,6.098591254057273e-40
MA0102.4,CEBPA,0.354,0.0356301531213192,0.016548881036513547,0.015724381625441698,1.1332579874699584,1.008791582732042e-28,1.2080629927179931,1.1470012966605254e-31,3.9817911149105996e-28,5.742704478582228e-31
MA0497.1,MEF2C,0.282,0.10700824499411071,0.052179034157832746,0.04946996466431095,1.1217277948171716,4.9906527030118874e-79,1.2027181195511074,1.9655588533837363e-88,5.909566534042648e-78,3.5763583039616277e-87
MA0674.1,NKX6-1,0.201,0.05577149587750294,0.026383981154299175,0.0251472320376914,1.1232334696874746,4.389590479674386e-43,1.194248419704845,2.0180368157298695e-47,2.5384763549124743e-42,1.420241004277814e-46
MA1530.1,NKX6-3,0.297,0.03828032979976443,0.015312131919905771,0.017196702002355714,1.354314710635106,3.099490015048653e-40,1.1843977567201642,7.29046809292081e-33,1.687751497245471e-39,3.750820136082017e-32
