bin,position,mean,sem,genotype,class2,n_peaks,class_label
1,-2000,2.009021225298544,0.04037197402167706,WT,unclassified,16000,No canonical PQS
2,-1949.367088607595,2.0052175628210107,0.04004090526254934,WT,unclassified,16000,No canonical PQS
3,-1898.73417721519,1.9972556040612857,0.03874493906238626,WT,unclassified,16000,No canonical PQS
4,-1848.1012658227849,1.9819839979655047,0.03702593306626883,WT,unclassified,16000,No canonical PQS
5,-1797.4683544303798,1.95968813755249,0.035599043840514606,WT,unclassified,16000,No canonical PQS
6,-1746.8354430379748,1.9469030555438003,0.03467976112449779,WT,unclassified,16000,No canonical PQS
7,-1696.2025316455697,1.938353284643193,0.03450025400225547,WT,unclassified,16000,No canonical PQS
8,-1645.5696202531644,1.9253422946242988,0.0344699060435159,WT,unclassified,16000,No canonical PQS
9,-1594.9367088607596,1.9134112606440485,0.034931686974885315,WT,unclassified,16000,No canonical PQS
10,-1544.3037974683543,1.9036728817124169,0.03483696388955634,WT,unclassified,16000,No canonical PQS
11,-1493.6708860759495,1.9144523543939989,0.03487838379764877,WT,unclassified,16000,No canonical PQS
12,-1443.0379746835442,1.9038780329275131,0.033937680456609796,WT,unclassified,16000,No canonical PQS
13,-1392.4050632911392,1.879556735451917,0.0324332783541251,WT,unclassified,16000,No canonical PQS
14,-1341.7721518987341,1.8590413489278654,0.031195726436231162,WT,unclassified,16000,No canonical PQS
15,-1291.139240506329,1.8334009112053116,0.02972425019035713,WT,unclassified,16000,No canonical PQS
16,-1240.506329113924,1.8215354871914287,0.030179505463886893,WT,unclassified,16000,No canonical PQS
17,-1189.873417721519,1.809180752580315,0.030075404104939113,WT,unclassified,16000,No canonical PQS
18,-1139.240506329114,1.7821079278204341,0.027714396103903548,WT,unclassified,16000,No canonical PQS
19,-1088.607594936709,1.751265254128476,0.026224153871011846,WT,unclassified,16000,No canonical PQS
20,-1037.9746835443038,1.7148433603770534,0.024124376612307787,WT,unclassified,16000,No canonical PQS
21,-987.3417721518988,1.6628403389662505,0.021928911353098983,WT,unclassified,16000,No canonical PQS
22,-936.7088607594937,1.622927162720263,0.02077895616720124,WT,unclassified,16000,No canonical PQS
23,-886.0759493670887,1.589044195951273,0.019375144124589617,WT,unclassified,16000,No canonical PQS
24,-835.4430379746836,1.563470214514782,0.017309083014300654,WT,unclassified,16000,No canonical PQS
25,-784.8101265822784,1.5753756769459943,0.016607692080235253,WT,unclassified,16000,No canonical PQS
26,-734.1772151898733,1.6007600632431607,0.016767582280905743,WT,unclassified,16000,No canonical PQS
27,-683.5443037974683,1.655808018111388,0.018158050519437745,WT,unclassified,16000,No canonical PQS
28,-632.9113924050632,1.7622780575312673,0.020575096973862728,WT,unclassified,16000,No canonical PQS
29,-582.2784810126582,1.9135244679918886,0.023005493634845935,WT,unclassified,16000,No canonical PQS
30,-531.6455696202531,2.130681609140436,0.02530281274381774,WT,unclassified,16000,No canonical PQS
31,-481.0126582278481,2.445201422673017,0.028452389205758256,WT,unclassified,16000,No canonical PQS
32,-430.37974683544303,2.8494827038576207,0.033229459662691724,WT,unclassified,16000,No canonical PQS
