ko,gene_name,gene_id,direction,log2FC,padj,is_lncRNA,plot
DHX36KO,Meis1,ENSMUSG00000020160,down,-3.122849053458939,2.046697984635691e-17,FALSE,top50
DHX36KO,Hck,ENSMUSG00000003283,down,-2.932433859895792,9.820277792213947e-19,FALSE,top50
DHX36KO,Spink1,ENSMUSG00000024503,down,-2.748439371303595,2.3059335833744567e-28,FALSE,top50
DHX36KO,Fam111a,ENSMUSG00000024691,down,-2.74533465810621,2.7920756000693547e-69,FALSE,top50
DHX36KO,Accsl,ENSMUSG00000075023,down,-2.700222457773893,8.183796258997241e-17,FALSE,top50
DHX36KO,Gli1,ENSMUSG00000025407,down,-2.5993613125390644,8.685261925186991e-17,FALSE,top50
DHX36KO,Fkbp6,ENSMUSG00000040013,down,-2.3780916981196887,9.44942320663564e-13,FALSE,top50
DHX36KO,Kctd16,ENSMUSG00000051401,down,-2.3506906913627836,8.237539974153749e-7,FALSE,top50
DHX36KO,Dpys,ENSMUSG00000022304,down,-2.3362366237685066,9.93463843526744e-28,FALSE,top50
DHX36KO,Dhx36,ENSMUSG00000027770,down,-2.315117224510382,2.2306557897393986e-54,FALSE,top50
DHX36KO,1500009C09Rik,ENSMUSG00000068099,down,-2.3004354581121125,1.2423240591856304e-5,FALSE,top50
DHX36KO,Myl9,ENSMUSG00000067818,down,-2.2891959564454987,2.145263494142646e-17,FALSE,top50
DHX36KO,Ulbp1,ENSMUSG00000079685,down,-2.152597172545777,3.626047983326474e-17,FALSE,top50
DHX36KO,Cited4,ENSMUSG00000070803,down,-2.077449583586928,7.749877146546769e-14,FALSE,top50
DHX36KO,H19,ENSMUSG00000000031,down,-2.0726919723758326,4.4242123194194926e-100,TRUE,top50
DHX36KO,Prdm1,ENSMUSG00000038151,down,-2.0445055378156907,1.767098926518159e-8,FALSE,top50
DHX36KO,Plac8,ENSMUSG00000029322,down,-2.0228140419080973,3.2583564032446207e-18,FALSE,top50
DHX36KO,Gm32885,ENSMUSG00000116295,down,-1.9703518162473044,3.607125906055736e-12,TRUE,top50
DHX36KO,Prkn,ENSMUSG00000023826,down,-1.9652104723905195,5.2389036650227174e-5,FALSE,top50
DHX36KO,Meg3,ENSMUSG00000021268,down,-1.8413761500877417,7.616894712832629e-52,TRUE,top50
DHX36KO,Pdgfc,ENSMUSG00000028019,down,-1.84019156265859,9.024257606420225e-8,FALSE,top50
DHX36KO,Gm13889,ENSMUSG00000087006,down,-1.8053168052794977,2.7343074514358655e-4,FALSE,top50
DHX36KO,Mobp,ENSMUSG00000032517,down,-1.8006464234270705,3.4278909200641525e-5,FALSE,top50
DHX36KO,Krt7,ENSMUSG00000023039,down,-1.755383249026674,1.1874418978028635e-28,FALSE,top50
DHX36KO,Synpo2l,ENSMUSG00000039376,down,-1.7486987717265878,3.205572026884993e-10,FALSE,top50
DHX36KO,Gstm2,ENSMUSG00000040562,down,-1.723662881905914,1.0053863386785264e-30,FALSE,top50
DHX36KO,Zfp503,ENSMUSG00000039081,down,-1.6676058693078364,2.490329523442369e-4,FALSE,top50
DHX36KO,Cth,ENSMUSG00000028179,down,-1.6490588837707976,6.970064442229922e-47,FALSE,top50
DHX36KO,Tgm1,ENSMUSG00000022218,down,-1.632421850830086,1.7143596600866632e-8,FALSE,top50
DHX36KO,4933402E13Rik,ENSMUSG00000045330,down,-1.608415616265917,3.0393431507228316e-4,FALSE,top50
DHX36KO,Lipg,ENSMUSG00000053846,down,-1.5863861104211965,1.5991569336889588e-6,FALSE,top50
DHX36KO,Mtmr11,ENSMUSG00000045934,down,-1.584029151156689,1.7458776014850187e-4,FALSE,top50
DHX36KO,Cdkn2c,ENSMUSG00000028551,down,-1.5451277797809002,5.73873214681074e-4,FALSE,top50
DHX36KO,Tmem144,ENSMUSG00000027956,down,-1.5394941891118243,1.5717079066005498e-5,FALSE,top50
DHX36KO,Wnt6,ENSMUSG00000033227,down,-1.5374036481910431,8.959493021852343e-7,FALSE,top50
DHX36KO,Pdcl2,ENSMUSG00000029235,down,-1.5140236300782841,8.274826688027546e-4,FALSE,top50
